"Assignment Name","Assignment Code",Description,"Applicable for Process","Business Unit","Employee Type","Employee Sub Type","Parent Company",Department,"Designation Name",Grade,Band,"Pay Scale","Office Location",Division,"Contribution Level","Employee Group","Notice Period from Employee","Appraisal Period","Location Type","Location Region","Job Family","Functional Area(Not Applicable)","Project Allocated",Gender,Nationality,"Marital Status",Timezone,"Employee Status","Current Address Country","Permanent Address Country","Designation Role Category",Salutation,"Blood Group","Designation Title(Not Applicable)",Capability,"Current Address State","Current Address City","Permanent Address State","Permanent Address City","Company Country","Pay Group","PF Applicability","PF Restriction","ESIC Applicable","LWF Applicable","EPS Applicability","PT Applicability","TDS Applicability","On Probation","On Notice","Manager Level","Is HOD","Is HRBP","Is Standard Role 1","Is Standard Role 2","Is Standard Role 3","Designation Exempt Status","Rotational Shift - Biographical","Sub Community Details - Biographical","Emergency Contact Relation - Emergency","Second Emergency Contact Relation - Emergency","Employee Group - Employment","Client Office Location - Employment","Performance Appraisal Month - Employment","Contract Status - Employment","Work Type - Employment","Experience From DOJ Condition","Experience From DOJ Date Range 1","Experience From DOJ Date Range 2","Experience From Group DOJ Condition","Experience From Group DOJ Date Range 1","Experience From Group DOJ Date Range 2","Age Condition","Age Date Range 1","Age Date Range 2","Experience in Current Role Condition","Experience in Current Role Date Range 1","Experience in Current Role Date Range 2","Experience in Company Condition","Experience in Company Date Range 1","Experience in Company Date Range 2","Included Employees","Exclude - Business Unit","Exclude - Employee Type","Exclude - Employee Sub Type","Exclude - Parent Company","Exclude - Department","Exclude - Designation Name","Exclude - Grade","Exclude - Band","Exclude - Pay Scale","Exclude - Office Location","Exclude - Division","Exclude - Contribution Level","Exclude - Employee Group","Exclude - Notice Period from Employee","Exclude - Appraisal Period","Exclude - Location Type","Exclude - Location Region","Exclude - Job Family","Exclude - Functional Area(Not Applicable)","Exclude - Project Allocated","Exclude - Gender","Exclude - Nationality","Exclude - Marital Status","Exclude - Timezone","Exclude - Employee Status","Exclude - Current Address Country","Exclude - Permanent Address Country","Exclude - Designation Role Category","Exclude - Salutation","Exclude - Blood Group","Exclude - Designation Title(Not Applicable)","Exclude - Capability","Exclude - Current Address State","Exclude - Current Address City","Exclude - Permanent Address State","Exclude - Permanent Address City","Exclude - Company Country","Exclude - Pay Group","Exclude - PF Applicability","Exclude - PF Restriction","Exclude - ESIC Applicable","Exclude - LWF Applicable","Exclude - EPS Applicability","Exclude - PT Applicability","Exclude - TDS Applicability","Exclude - On Probation","Exclude - On Notice","Exclude - Manager Level","Exclude - Is HOD","Exclude - Is HRBP","Exclude - Is Standard Role 1","Exclude - Is Standard Role 2","Exclude - Is Standard Role 3","Exclude - Designation Exempt Status","Exclude - Rotational Shift - Biographical","Exclude - Sub Community Details - Biographical","Exclude - Emergency Contact Relation - Emergency","Exclude - Second Emergency Contact Relation - Emergency","Exclude - Employee Group - Employment","Exclude - Client Office Location - Employment","Exclude - Performance Appraisal Month - Employment","Exclude - Contract Status - Employment","Exclude - Work Type - Employment","Exclude - Experience From DOJ Condition","Exclude - Experience From DOJ Date Range 1","Exclude - Experience From DOJ Date Range 2","Exclude - Experience From Group DOJ Condition","Exclude - Experience From Group DOJ Date Range 1","Exclude - Experience From Group DOJ Date Range 2","Exclude - Age Condition","Exclude - Age Date Range 1","Exclude - Age Date Range 2","Exclude - Experience in Current Role Condition","Exclude - Experience in Current Role Date Range 1","Exclude - Experience in Current Role Date Range 2","Exclude - Experience in Company Condition","Exclude - Experience in Company Date Range 1","Exclude - Experience in Company Date Range 2","Excluded Employees"
"Confirmed Employees",,,Default,,"Full Time",,,"Adminstration (TPL.A),Mumbai Admin (TPL.A.MAD),Business Development (TPL.BD),Database Support (TPL.DS),Support (TPL.DS.SUPP),Development (TPL.DEV),Back End (TPL.DEV.BE),DBA (TPL.DEV.DBA),Front end (TPL.DEV.FE),Full Stack (TPL.DEV.FS),Finance (TPL.F),Accounts (TPL.F.ACC),Human Resources (TPL.HR),Core HR (TPL.HR.CHR),Core HR and PMO (TPL.HR.CHAP),Talent Acquisition (TPL.HR.TA),Talent Acquisition and PMO (TPL.HR.TAAP),IT (TPL.IT),Networking and Hardware Support (TPL.IT.NAHS),Sales (TPL.BD.S),Project Coordinator (TPL.PC),Coordinator (TPL.PC.CD),Project Management (TPL.PM),Business Analysis (TPL.PM.BA),Project Manager (TPL.PM.PMO),Quality Assurance (TPL.QA),Automation Testing (TPL.QA.AT),Manual Testing (TPL.QA.MT),CEO (PSI.C),Adminstration (PSI.A),Hyderabad Admin (PSI.A.HA),Digital (PSI.D),Content (PSI.D.C),Marketing (PSI.D.MKT),SEO (PSI.D.SEO),Finance (PSI.F),Accounts (PSI.F.ACC),Human Resources (PSI.HR),Core HR (PSI.HR.CHR),HR (PSI.HR.HR),Talent Acquisition (PSI.HR.TA),IT (PSI.IT),Networking and Hardware Support (PSI.IT.NAHS),Networking and Support (PSI.IT.NAS),Operations (PSI.O),Sales (PSI.O.S),Design (PSI.DG),UI/UX (PSI.DG.UI/UX),UX (PSI.DG.UX),Development (PSI.DEV),Back End (PSI.DEV.BE),Business Analysis (PSI.PRDM.BA),DBA (PSI.DEV.DBA),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Networking and Telecom (PSI.DEV.NAT),VP QA & Devops (PSI.VP.QA&DO),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Networking and Telecom (PSI.QA.NAT),Business Development (PSI.BD),Inside Sales (PSI.BD.IS),Marketing (PSI.BD.MKT),Sales (PSI.BD.S),Company Director (PSI.C.CD),Senior Director HR (PSI.C.SDHR),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),Mobile IOS (PSI.DEV.MIOS),Mobile Android (PSI.DEV.MA),Mobile (PSI.DEV.MOB),Mobile Testing (PSI.QA.MOBT),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Bengaluru Admin (PSI.A.BA),UX (PSI.D.UX),Operations Center Head- Mumbai  (PSI.O.OCHM),Database Support (PSI.C.DS),Application Support (PSI.C.DS.AS),Application Support (TPL.DS.AS),Co Founder-EVP (PSI.BD.CFEVP),Product Management (PSI.PRDM),Admin (TPL.AD.AD),Automation (PSI.QA.ATT),Documentation (PSI.PRDM.D),ERP (IWSPL.DEV.ERP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Employees",,,Default,,,,"PrimeSoft,PrimeSoft IP Solutions Private Limited.,Tejora Private Limited,Igenero Web Solutions Private Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEO,,,Default,,,,,,"CEO (Des_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Above Managers",,,Default,,,,,,,,,,,,"Senior Manager (SM),Senior Management (SRM),Manager (M)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Below Managers",,,Default,,,,,,,,,,,,"Senior Lead (SL),Associate (A),Lead (L),Individual Contributor (IC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IT / Admin",,,Default,,,,,,"Senior Admin Executive (Des_22)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Immediate Relieving",,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Performance Management System Goal setting",UAS_1,,Default,,"Consultant,Contract,Full Time,Associate,Part time",,"PrimeSoft,PrimeSoft IP Solutions Private Limited.,Tejora Private Limited,Igenero Web Solutions Private Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RM for Policy",UAS_2,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrimeSoft,UAS_3,,Default,,,,"PrimeSoft IP Solutions Private Limited.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
