"Network Name","Network Code","Group Company","IP Address From","IP Address To","Tag"
"Hyderabad WAN 1","IPRS_1","PrimeSoft IP Solutions Private Limited.","111.93.10.210","111.93.10.210","Hyderabad Office"
"Hyderabad WAN 2","IPRS_2","PrimeSoft IP Solutions Private Limited.","202.65.158.18","202.65.158.18","Hyderabad Office"
"Bangalore WAN 1","IPRS_3","PrimeSoft IP Solutions Private Limited.","14.143.216.186","14.143.216.186","Bengaluru Office"
"Bangalore WAN 2","IPRS_4","PrimeSoft IP Solutions Private Limited.","182.73.200.2","182.73.200.2","Bengaluru Office"
"Mumbai WAN 1","IPRS_5","PrimeSoft IP Solutions Private Limited.","125.20.143.130","125.20.143.130","Mumbai Office"
"Mumbai WAN 2","IPRS_6","PrimeSoft IP Solutions Private Limited.","43.252.192.142","43.252.192.142","Mumbai Office"
"Bangalore WAN 1","IPRS_7","Tejora Private Limited","14.143.216.186","14.143.216.186","Bengaluru Office"
"Bangalore WAN 2","IPRS_8","Tejora Private Limited","182.73.200.2","182.73.200.2","Bengaluru Office"
"Hyderabad WAN 1","IPRS_9","Tejora Private Limited","111.93.10.210","111.93.10.210","Hyderabad Office"
"Hyderabad WAN 2","IPRS_10","Tejora Private Limited","202.65.158.18","202.65.158.18","Hyderabad Office"
"Mumbai WAN 1","IPRS_11","Tejora Private Limited","125.20.143.130","125.20.143.130","Mumbai Office"
"Mumbai WAN 2","IPRS_12","Tejora Private Limited","43.252.192.142","43.252.192.142","Mumbai Office"
