"Shift Name","Shift Code","Shift Description","Assignment Type","Assignment Framework","Group Company","Start time","End time","Next Day? (Check If Over-Night Shift)","Show For Shift Change Request","Policy","Is WFH Shift ? (Check If This Shift Is Work From Home Shift)","Do Not Generate Overtime On Weekday","Do Not Generate Overtime On Weekly Off","Do Not Generate Overtime On Holiday","Timezone For Only Clockin Warning And Absent Remainder","Consider this as null Shift","Ignore attendance punches on Null Shift day","Shift Mapped To Alternative Work Schedule","Consider Standard Working Hours Based On","Standard Working Hours","Standard Shift","Leave Deduction Factor"
"Test Shift 14.30 to 22.30","SH_16","","Assignment Framework","On Probation Attendance : Not on Probation- Attendance","N.A.","14:30","22:30","No","Yes","","No","No","No","No","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","No","N.A.","No","N.A.","N.A.","N.A.",""
"S1(09:30 - 18:30)","SH_1","09:30 am to 06:30 pm","Assignment Framework","On Probation Attendance : Not on Probation- Attendance","N.A.","9:30","18:30","No","Yes","","No","No","No","No","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","No","N.A.","No","N.A.","N.A.","N.A.",""
"S10(11:30 - 20:30)","SH_10","11:30 am to 20:30 pm","Assignment Framework","On Probation Attendance : Not on Probation- Attendance","N.A.","11:30","20:30","No","Yes","","No","No","No","No","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","No","N.A.","No","N.A.","N.A.","N.A.",""
"S11(7:3O - 16:30)","SH_12","","Assignment Framework","On Probation Attendance : Not on Probation- Attendance","N.A.","7:30","16:30","No","Yes","","No","No","No","No","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","No","N.A.","No","N.A.","N.A.","N.A.",""
"S17(18:00 - 03:00)","SH_17","","Assignment Framework","On Probation Attendance : Not on Probation- Attendance","N.A.","18:0","3:0","Yes","Yes","","No","No","No","No","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","No","N.A.","No","N.A.","N.A.","N.A.",""
"S14(16:00 - 01:00)","SH_15","16::00 pm to 01:00 am","Assignment Framework","On Probation Attendance : Not on Probation- Attendance","N.A.","16:0","1:0","Yes","Yes","","No","No","No","No","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","No","N.A.","No","N.A.","N.A.","N.A.",""
"S19(13:00 - 22:00)","SH_19","1:00 pm to 10:00 pm","Assignment Framework","On Probation Attendance : Not on Probation- Attendance","N.A.","13:0","22:0","No","Yes","","No","No","No","No","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","No","N.A.","No","N.A.","N.A.","N.A.",""
"W1(09:00 - 18:00)","SH_8","","Assignment Framework","On Probation Attendance : Not on Probation- Attendance","N.A.","9:0","18:0","No","Yes","","No","No","No","No","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","No","N.A.","No","N.A.","N.A.","N.A.",""
"S13(11:00 - 20:00)","SH_14","11:00 am to 20:00 pm","Assignment Framework","On Probation Attendance : Not on Probation- Attendance","N.A.","11:0","20:0","No","Yes","","No","No","No","No","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","No","N.A.","No","N.A.","N.A.","N.A.",""
"S9(21:00 - 06:00)","SH_11","","Assignment Framework","On Probation Attendance : Not on Probation- Attendance","N.A.","21:0","6:0","Yes","Yes","","No","No","No","No","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","No","N.A.","No","N.A.","N.A.","N.A.",""
