"Fencing Name","Fencing Code",Distance,Lattitude,Longitude,Status,Company,Tags
"NSDL, Prabhadevi",GFRS_1,500,19.00694,72.84470,Active,"PrimeSoft IP Solutions Private Limited.",
"Axis securities limited, Airoli",GFRS_2,700,19.13260,73.03779,Active,"PrimeSoft IP Solutions Private Limited.",Office
"Yes Bank, Santacruz",GFRS_3,500,19.08502,72.84562,Active,"PrimeSoft IP Solutions Private Limited.",
"Yes Bank, Airoli",GFRS_4,500,19.17202,73.00280,Active,"PrimeSoft IP Solutions Private Limited.",
"Eureka Towers, Mumbai",GFRS_5,500,19.18028,72.83425,Active,"PrimeSoft IP Solutions Private Limited.",
"Peenya office, Bglr",GFRS_6,500,13.03755,77.53580,Active,"PrimeSoft IP Solutions Private Limited.",
"Q city, Hyd",GFRS_7,500,17.42755,78.33168,Active,"PrimeSoft IP Solutions Private Limited.",
"Beehive office, Bglr",GFRS_8,500,12.99009,77.70294,Active,"PrimeSoft IP Solutions Private Limited.",
"Lombard - Vashi",GFRS_9,500,19.09348,73.02195,Active,"PrimeSoft IP Solutions Private Limited.",
"NSDL, Prabhadevi",GFRS_10,500,19.00694,72.84470,Archived,"Tejora Private Limited",
"Axis securities limited, Airoli",GFRS_11,500,19.13260,73.03779,Archived,"Tejora Private Limited",
"Yes Bank, Santacruz",GFRS_12,500,19.08502,72.84562,Archived,"Tejora Private Limited",
"Yes Bank, Airoli",GFRS_13,500,19.17202,73.00280,Active,"Tejora Private Limited",
"Eureka Towers, Mumbai",GFRS_14,500,19.18028,72.83425,Active,"Tejora Private Limited",
"Peenya office, Bglr",GFRS_15,500,13.03755,77.53580,Archived,"Tejora Private Limited",
"Q city, Hyd",GFRS_16,500,17.42755,78.33168,Archived,"Tejora Private Limited",
"Beehive office, Bglr",GFRS_17,500,12.99009,77.70294,Archived,"Tejora Private Limited",
"Lombard - Vashi",GFRS_18,500,19.09348,73.02195,Active,"Tejora Private Limited",
Indusind,GFRS_19,500,19.11554,72.87050,Active,"PrimeSoft IP Solutions Private Limited.",
Indusind,GFRS_20,500,19.11554,72.87050,Active,"Tejora Private Limited",
"ICICI Lombard general insurance - Vikhroli",GFRS_21,500,19.12051,72.92708,Active,"PrimeSoft IP Solutions Private Limited.",
"ICICI Lombard general insurance - Vikhroli",GFRS_22,500,19.12051,72.92708,Archived,"Tejora Private Limited",
"Welldoc, Bglr",GFRS_23,500,12.93211,77.59423,Active,"PrimeSoft IP Solutions Private Limited.",
"Welldoc, Bglr",GFRS_24,500,12.93211,77.59423,Archived,"Tejora Private Limited",
"Invoice Mart, Thane",GFRS_25,800,19.19851,72.96493,Active,"PrimeSoft IP Solutions Private Limited.",Office
"Invoice Mart, Thane",,500,19.20655,72.96493,Archived,"Tejora Private Limited",
"Aditya Birla ,Goregaon East ",GFRS_26,500,19.15675,72.8555,Active,"PrimeSoft IP Solutions Private Limited.",
"Aditya Birla ,Goregaon East ",GFRS_27,500,19.15675,72.8555,Archived,"Tejora Private Limited",
"Axis securities limited,Ghansoli",GFRS_28,700,19.13260,73.03779,Active,"PrimeSoft IP Solutions Private Limited.",Office
