"Holiday Name","Holiday Code","Holiday Date","Day Name","Repeat Next Year (yes/no)","Holiday Type (Mandatory(0)/Optional(1)/National(2))","Assigned location","Location (Work Area Code)",Assignments,"Additional Configurations","Recurring Holiday Type(Recurring Static date(0)/Recurring Day of Month(1))","Static Month","Static Date",Occurrence,Month,Day,"Holiday Starts From"
"New Year",HDAY_1,2023-01-01,Sunday,NO,0,,,"Iksula,Mumbai Holiday",No,,,,,,,
"New Year",HDAY_2,2023-01-02,Monday,NO,0,,,"Airtel Payment Bank",No,,,,,,,
Sankranthi,HDAY_3,2023-01-13,Friday,NO,0,,,"Hyderabad- Holiday",No,,,,,,,
"Republic Day",HDAY_4,2023-01-26,Thursday,NO,0,,,"Airtel Payment Bank,Axis Securities,Freecharge,ICICI Lombard,Iksula,Kotak Securities,NSDL,Scitara,Yes Bank,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,IndusInd,Aditya Birla",No,,,,,,,
Mahashivratri,HDAY_5,2023-02-18,Saturday,NO,0,,,"Axis Securities,Kotak Securities,NSDL,Aditya Birla",No,,,,,,,
Holi,HDAY_6,2023-03-07,Tuesday,NO,0,,,"Axis Securities,ICICI Lombard,Iksula,Kotak Securities,NSDL,Scitara,Yes Bank,Mumbai Holiday,IndusInd",No,,,,,,,
Holi,HDAY_7,2023-03-08,Wednesday,NO,0,,,"Airtel Payment Bank,Freecharge,Iksula",No,,,,,,,
"Gudi Padwa",HDAY_8,2023-03-22,Wednesday,NO,0,,,"ICICI Lombard,Yes Bank,IndusInd",No,,,,,,,
Ugadi,HDAY_9,2023-03-22,Wednesday,NO,0,,,"Bengaluru Holiday,Hyderabad- Holiday",No,,,,,,,
"Ram Navami",HDAY_10,2023-03-30,Thursday,NO,0,,,"Axis Securities,Kotak Securities,NSDL,IndusInd",No,,,,,,,
"Mahavir Jayanti",HDAY_11,2023-04-04,Tuesday,NO,0,,,"Axis Securities,Kotak Securities,NSDL,IndusInd",No,,,,,,,
"Good Friday",HDAY_12,2023-04-07,Friday,NO,0,,,"Axis Securities,Freecharge,Iksula,Kotak Securities,NSDL,Yes Bank,IndusInd",No,,,,,,,
"Ambedkar Jayanti",HDAY_13,2023-04-14,Friday,NO,0,,,"Airtel Payment Bank,Axis Securities,Kotak Securities,NSDL,Yes Bank,IndusInd",No,,,,,,,
"Ramzan Eid",HDAY_14,2023-04-21,Friday,NO,0,,,"Freecharge,ICICI Lombard",No,,,,,,,
"Id-Ul-Fitr (Ramzan Id)",HDAY_15,2023-04-22,Saturday,NO,0,,,"Axis Securities,Kotak Securities,NSDL",No,,,,,,,
"Maharashtra Day",HDAY_16,2023-05-01,Monday,NO,0,,,"Axis Securities,Freecharge,Kotak Securities,NSDL,Yes Bank,Mumbai Holiday,IndusInd",No,,,,,,,
"Labour Day",HDAY_17,2023-05-01,Monday,NO,0,,,"ICICI Lombard,Welldoc,Labcorp",No,,,,,,,
"Buddha Pournima",HDAY_18,2023-05-05,Friday,NO,0,,,IndusInd,No,,,,,,,
"Bakri Eid",HDAY_19,2023-06-28,Wednesday,NO,0,,,"Axis Securities,Kotak Securities,NSDL",No,,,,,,,
"Bakri Eid",HDAY_20,2023-06-29,Thursday,NO,0,,,"Welldoc,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday",No,,,,,,,
"Eid Ul Fitr",HDAY_21,2023-06-29,Thursday,NO,0,,,Iksula,No,,,,,,,
"Bakri Eid",HDAY_22,2023-06-29,Thursday,NO,0,,,IndusInd,No,,,,,,,
Moharrum,HDAY_23,2023-07-22,Saturday,NO,0,,,"Kotak Securities",No,,,,,,,
Muharram,HDAY_24,2023-07-29,Saturday,NO,0,,,"Axis Securities,NSDL",No,,,,,,,
"Independence Day",HDAY_25,2023-08-15,Tuesday,NO,0,,,"Airtel Payment Bank,Axis Securities,Freecharge,ICICI Lombard,Iksula,Kotak Securities,NSDL,Scitara,Welldoc,Yes Bank,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,IndusInd",No,,,,,,,
"Parsi New Year",HDAY_26,2023-08-16,Wednesday,NO,0,,,IndusInd,No,,,,,,,
"Raksha Bandhan",HDAY_27,2023-08-30,Wednesday,NO,0,,,Freecharge,No,,,,,,,
"Ganesh Chaturthi",HDAY_28,2023-09-19,Tuesday,NO,0,,,"Axis Securities,ICICI Lombard,Kotak Securities,NSDL,Scitara,Yes Bank,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,IndusInd",No,,,,,,,
"Varasiddhi Vinayak Vrata",HDAY_29,2023-09-19,Tuesday,NO,0,,,,No,,,,,,,
"Gandhi Jayanti",HDAY_30,2023-10-02,Monday,NO,0,,,"Airtel Payment Bank,Axis Securities,Freecharge,ICICI Lombard,Iksula,Kotak Securities,NSDL,Scitara,Welldoc,Yes Bank,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,IndusInd",No,,,,,,,
Dussehra,HDAY_31,2023-10-24,Tuesday,NO,0,,,"Airtel Payment Bank,Axis Securities,Freecharge,ICICI Lombard,Iksula,Kotak Securities,NSDL,Scitara,Yes Bank,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,IndusInd",No,,,,,,,
Vijayadashmi,HDAY_32,2023-10-24,Tuesday,NO,0,,,Welldoc,No,,,,,,,
"Kannada Rajyotsava",HDAY_33,2023-11-01,Wednesday,NO,0,,,"Welldoc,Bengaluru Holiday",No,,,,,,,
"Haryana Day / Karnataka Rajyotsava",HDAY_34,2023-11-01,Wednesday,NO,0,,,Freecharge,No,,,,,,,
"Diwali-Laxmi Pujan",HDAY_35,2023-11-12,Sunday,NO,0,,,"Axis Securities,Kotak Securities,NSDL",No,,,,,,,
Deepavali,HDAY_36,2023-11-13,Monday,NO,0,,,"Airtel Payment Bank",No,,,,,,,
"Govardhan Puja",HDAY_37,2023-11-13,Monday,NO,0,,,Freecharge,No,,,,,,,
Diwali,HDAY_38,2023-11-13,Monday,NO,0,,,Iksula,No,,,,,,,
Diwali-Balipratipada,HDAY_39,2023-11-14,Tuesday,NO,0,,,"Axis Securities,Kotak Securities,NSDL",No,,,,,,,
"Bhai Dooj",HDAY_40,2023-11-14,Tuesday,NO,0,,,Freecharge,No,,,,,,,
Diwali,HDAY_41,2023-11-14,Tuesday,NO,0,,,"Iksula,Scitara,Welldoc,Yes Bank,IndusInd",No,,,,,,,
"Gurunanak Jayanti",HDAY_42,2023-11-27,Monday,NO,0,,,"Axis Securities,Freecharge,Kotak Securities,NSDL,IndusInd",No,,,,,,,
Christmas,HDAY_43,2023-12-25,Monday,NO,0,,,"Airtel Payment Bank,Axis Securities,Freecharge,ICICI Lombard,Iksula,Kotak Securities,NSDL,Welldoc,Yes Bank,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,IndusInd",No,,,,,,,
"New Years Day",HDAY_44,2024-01-01,Monday,NO,0,,,"Airtel Payment Bank,Freecharge,ICICI Lombard,Iksula,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday",No,,,,,,,
Sankranthi,HDAY_45,2024-01-15,Monday,NO,0,,,"Hyderabad- Holiday",No,,,,,,,
"Ayodhya Ram Mandir",HDAY_46,2024-01-22,Monday,NO,0,,,"Kotak Securities,NSDL,Yes Bank,Invoicemart",No,,,,,,,
"Republic Day",HDAY_47,2024-01-26,Friday,NO,2,,,"Airtel Payment Bank,Axis Securities,Freecharge,ICICI Lombard,Iksula,Kotak Securities,NSDL,Yes Bank,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,IndusInd,Aditya Birla,Invoicemart",No,,,,,,,
"Chhatrapati Shivaji Maharaj Jayanti",HDAY_48,2024-02-19,Monday,NO,0,,,"IndusInd,Invoicemart",No,,,,,,,
Mahashivratri,HDAY_49,2024-03-08,Friday,NO,0,,,"Axis Securities,Kotak Securities,NSDL,Yes Bank,IndusInd,Aditya Birla",No,,,,,,,
Holi,HDAY_50,2024-03-25,Monday,NO,0,,,"Airtel Payment Bank,Axis Securities,Freecharge,ICICI Lombard,Iksula,Kotak Securities,NSDL,Yes Bank,Mumbai Holiday,IndusInd,Aditya Birla,Invoicemart",No,,,,,,,
"Good Friday",HDAY_51,2024-03-29,Friday,NO,0,,,"Axis Securities,Freecharge,Iksula,Kotak Securities,NSDL,Yes Bank,IndusInd",No,,,,,,,
Ugadi,HDAY_52,2024-04-09,Tuesday,NO,0,,,"Yes Bank,Bengaluru Holiday,Hyderabad- Holiday",No,,,,,,,
"Gudi Padwa",HDAY_53,2024-04-09,Tuesday,NO,0,,,"ICICI Lombard,IndusInd,Aditya Birla,Invoicemart",No,,,,,,,
Ramzan,HDAY_54,2024-04-11,Thursday,NO,0,,,"Freecharge,Kotak Securities,NSDL,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,IndusInd",No,,,,,,,
"Idul Fitr (Ramzan Eid)",HDAY_55,2024-04-11,Thursday,NO,0,,,"Axis Securities,ICICI Lombard,Yes Bank",No,,,,,,,
"Babasaheb Ambedkar Jayanti",HDAY_56,2024-04-14,Sunday,NO,0,,,NSDL,No,,,,,,,
"Ram Navami",HDAY_57,2024-04-17,Wednesday,NO,0,,,"Axis Securities,Iksula,Kotak Securities,NSDL,IndusInd",No,,,,,,,
"Mahavir Jayanti",HDAY_58,2024-04-21,Sunday,NO,0,,,NSDL,No,,,,,,,
"Karnataka Lok Sabha Elections",HDAY_59,2024-04-26,Friday,NO,0,"Brigade Peenya, Bengaluru, India  (IWSPL.BBK)
 Brigade Peenya, Bengaluru, India  (PSI.BBK)
 Metropolis- Whitefield, Bengaluru, India  (PSI.WFBK)
 Metropolis- Whitefield, Bengaluru, India  (TPL.WFBK)
","IWSPL.BBK,PSI.BBK,PSI.WFBK,TPL.WFBK",,No,,,,,,,
"Maharashtra Day",HDAY_60,2024-05-01,Wednesday,NO,0,,,"Axis Securities,Kotak Securities,NSDL,Yes Bank,Mumbai Holiday,IndusInd,Aditya Birla,Invoicemart",No,,,,,,,
"May Day",HDAY_61,2024-05-01,Wednesday,NO,0,,,"Freecharge,Labcorp",No,,,,,,,
"Labour Day",HDAY_62,2024-05-01,Wednesday,NO,0,,,"ICICI Lombard",No,,,,,,,
"Hyderabad Lok Sabha Elections",HDAY_63,2024-05-13,Monday,NO,0,"Q City, Hyderabad, India  (PSI.QHT)
 Q City, Hyderabad, India  (TPL.QHT)
 Q City, Hyderabad, India  (IWSPL.QHT)
","PSI.QHT,TPL.QHT,IWSPL.QHT",,No,,,,,,,
"Mumbai Lok Sabha Elections",HDAY_64,2024-05-20,Monday,NO,0,"Malad Mindspace, Mumbai, India  (PSI.ETMI)
 Malad Mindspace, Mumbai, India  (TPL.ETMI)
","PSI.ETMI,TPL.ETMI",,No,,,,,,,
"Buddha Pournima",HDAY_65,2024-05-23,Thursday,NO,0,,,"IndusInd,Invoicemart",No,,,,,,,
"Bakri Eid",HDAY_66,2024-06-17,Monday,NO,0,,,"Axis Securities,Kotak Securities,NSDL,IndusInd,Aditya Birla,Invoicemart",No,,,,,,,
Moharrum,HDAY_67,2024-07-17,Wednesday,NO,0,,,"Axis Securities,Kotak Securities,NSDL,IndusInd,Aditya Birla",No,,,,,,,
"Independence Day",HDAY_68,2024-08-15,Thursday,NO,0,,,"Airtel Payment Bank,Axis Securities,Freecharge,ICICI Lombard,Iksula,Kotak Securities,NSDL,Yes Bank,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,IndusInd,Aditya Birla,Invoicemart",No,,,,,,,
"Raksha Bandhan",HDAY_69,2024-08-19,Monday,NO,0,,,"Freecharge,Iksula",No,,,,,,,
"Krishna Janmasthami",HDAY_70,2024-08-26,Monday,NO,0,,,"Freecharge,Iksula",No,,,,,,,
"Gauri Pujan",HDAY_71,2024-09-06,Friday,NO,1,,,Labcorp,No,,,,,,,
"Ganesh Chaturthi",HDAY_72,2024-09-07,Saturday,NO,0,,,NSDL,No,,,,,,,
Id-E-Milad,HDAY_73,2024-09-16,Monday,NO,0,,,"IndusInd,Invoicemart",No,,,,,,,
"Gandhi Jayanti",HDAY_74,2024-10-02,Wednesday,NO,0,,,"Airtel Payment Bank,Axis Securities,Freecharge,ICICI Lombard,Iksula,Kotak Securities,NSDL,Yes Bank,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,IndusInd,Aditya Birla,Invoicemart",No,,,,,,,
