"Code","Policy Title","Description","Applicable to","Enable Probation review trigger configuration at step level (Yes/No)","Triggered number of days before Confirmation","After Confirmation change Employee Type to","After Confirmation change Employee Sub Type to","Auto assign Probation period on addition","Maximum number of extensions to Probation period","Restrict these Probation periods for extension","Number of days to hold Confirmation from Probation end date","Show hold days only to Admin (Yes/No)","Show Employees as Probation when recommended for Separation","Show previous step action in taskbox (Yes/No)","Skip steps if assignee is any earlier respondent (Yes/No)","Enable Custom Escalation (Yes/No)","Escalation after number of days","Escalate To Role","Confirm step if no assignee (Yes/No)","Reassign to role if no assignee","Confirmation Workflow IDs","Trigger number of days before Probation end date (Add as pipe separated values for different order)","Letter Template for Confirmation","HR Letter Field for Confirmation","CC Role on Confirmation","CC Employee on Confirmation","Letter Template for Extension","HR Letter Field for Extension","CC Role on Extension","CC Employee on Extension","Initiation - Notification Template","Initiation - Roles","Auto-Confirmed - Notification Template","Auto-Confirmation - Roles","Auto-Extended - Notification Template","Auto-Extension - Roles","Status"
"CONFFLOW_4","Confirmation Workflow","","Full Time","No","10","EMPTYPE_3","EMPSUBTYPE_11","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_4|CONF_WF_4|CONF_WF_4","","","Confirmation letters","","","","","","","","","","","","","Inactive"
"CONFFLOW_5","Confirmation Workflow Associate","","Associate","No","10","EMPTYPE_4","EMPSUBTYPE_5","PROB_1","3","","20000","Yes","No","Yes","Yes","Yes","5","manager","Yes","","CONF_WF_4|CONF_WF_4|CONF_WF_4","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_6","Confirmation Workflow","","Full Time","No","10","EMPTYPE_3","EMPSUBTYPE_11","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_4|CONF_WF_4|CONF_WF_4","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_7","Confirmation Workflow Associate","","Associate","No","10","EMPTYPE_4","EMPSUBTYPE_5","PROB_1","3","","20000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_4|CONF_WF_4|CONF_WF_4","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_8","Confirmation Workflow Associate","","Associate","No","10","EMPTYPE_4","EMPSUBTYPE_5","PROB_1","3","","0","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_4|CONF_WF_4|CONF_WF_4","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_9","Confirmation Workflow Associate","","Associate","No","10","EMPTYPE_4","EMPSUBTYPE_5","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_4|CONF_WF_4|CONF_WF_4","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_10","Confirmation Workflow","","Full Time","No","10","EMPTYPE_3","EMPSUBTYPE_11","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_5|CONF_WF_5|CONF_WF_5","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_11","Confirmation Workflow Associate","","Associate","No","10","EMPTYPE_4","EMPSUBTYPE_5","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_5|CONF_WF_5|CONF_WF_5","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_12","Confirmation Workflow","","Full Time","No","10","EMPTYPE_3","EMPSUBTYPE_11","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_6|CONF_WF_6|CONF_WF_6","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_13","Confirmation Workflow Associate","","Associate","No","10","EMPTYPE_4","EMPSUBTYPE_5","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_6|CONF_WF_6|CONF_WF_6","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_14","Confirmation Workflow","","Full Time","No","10","EMPTYPE_3","EMPSUBTYPE_11","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_7|CONF_WF_7|CONF_WF_7","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_15","Confirmation Workflow Associate","","Associate","No","10","EMPTYPE_4","EMPSUBTYPE_5","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_7|CONF_WF_7|CONF_WF_7","","","","","","","","","","","","","","","","Inactive"
"CONFFLOW_14","Confirmation Workflow","","Full Time","No","10","EMPTYPE_3","EMPSUBTYPE_11","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_10|CONF_WF_10|CONF_WF_10","","","","","","","","","","","","","","","","Active"
"CONFFLOW_15","Confirmation Workflow Associate","","Associate","No","10","EMPTYPE_4","EMPSUBTYPE_5","PROB_1","3","","200000","Yes","No","Yes","Yes","No","","","Yes","","CONF_WF_10|CONF_WF_10|CONF_WF_10","","","","","","","","","","","","","","","","Active"
