"Type","Object Type","Default Value","Language","Translation","Status"
"attribute","CWF Custom Approval Flow Name","PIP Approval","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","Admin","","","Active"
"attribute","CWF Custom Approval Flow Name","Requisition Approval","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","L1","","","Active"
"attribute","CWF Custom Approval Flow Name","Asset Request Form","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","IT Admin","","","Active"
"attribute","CWF Custom Approval Flow Name","Custom Approval FLow","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","l1","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","l2","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","l3","","","Active"
"attribute","CWF Custom Approval Flow Name","Below Manager","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","L2","","","Active"
"attribute","CWF Custom Approval Flow Name","Above Manager","","","Archived"
"attribute","CWF Custom Approval Flow Stage Name","L1","","","Archived"
"attribute","CWF Custom Approval Flow Stage Name","L2","","","Archived"
"attribute","CWF Custom Approval Flow Stage Name","L3","","","Archived"
"attribute","CWF Custom Approval Flow Name","Offer Approval Flow","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","L3","","","Active"
"attribute","CWF Custom Approval Flow Name","Employee Type","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","Manager Approval","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","HR Team","","","Active"
"attribute","CWF Custom Approval Flow Name","Offer Reroute CEO","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","CEO","","","Active"
"attribute","CWF Custom Approval Flow Name","Offer Reroute VP","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","VP","","","Active"
"attribute","CWF Custom Approval Flow Name","Offer reroute [REDACTED]","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","[REDACTED]","","","Active"
"attribute","CWF Custom Approval Flow Name","Test flow 1","","","Archived"
"attribute","CWF Custom Approval Flow Name","Compensation Change","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","Stage 1","","","Active"
"attribute","CWF Custom Approval Flow Name","Designation Change ","","","Active"
"attribute","CWF Custom Approval Flow Name","Designation Change - Initiator [REDACTED]","","","Active"
"attribute","CWF Custom Approval Flow Name","Location Change","","","Active"
"attribute","CWF Custom Approval Flow Name","Manager Approval","","","Active"
"attribute","CWF Custom Approval Flow Name","HRBP Approval","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","HRBP","","","Active"
"attribute","CWF Custom Approval Flow Name","Compensation Change Approval","","","Active"
"attribute","CWF Custom Approval Flow Name","Address Change","","","Draft"
"attribute","CWF Custom Approval Flow Stage Name","HRBP","","","Draft"
"attribute","CWF Custom Approval Flow Name","Address Change","","","Active"
"attribute","CWF Custom Approval Flow Name","Manager Change Approval Flow","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","Approval Stage 1","","","Active"
"attribute","CWF Custom Approval Flow Name","New Certification Approval Flow","","","Active"
"attribute","CWF Custom Approval Flow Name","Project Change - manager","","","Active"
"attribute","CWF Custom Approval Flow Name","Project Change- Admin","","","Active"
"attribute","CWF Custom Approval Flow Name","[REDACTED] Approval","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","Stage 1a","","","Active"
"attribute","CWF Custom Approval Flow Name","[REDACTED] Reroute offer ","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","[REDACTED] ","","","Active"
"attribute","CWF Custom Approval Flow Name","Offer reroute [REDACTED]","","","Archived"
"attribute","CWF Custom Approval Flow Stage Name","[REDACTED]","","","Archived"
"attribute","CWF Custom Approval Flow Name","Offer Re route- [REDACTED]","","","Active"
"attribute","CWF Custom Approval Flow Name","Test Re-route","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","S1","","","Active"
"attribute","CWF Custom Approval Flow Name","Offer Re route- CEO","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","ceo","","","Active"
"attribute","CWF Custom Approval Flow Name","Offer Re route- VP","","","Active"
"attribute","CWF Custom Approval Flow Name","Offer Approval- [REDACTED]","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","[REDACTED]","","","Active"
"attribute","CWF Custom Approval Flow Name","Resignation Approval ","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","Manager Resignation Approval","","","Active"
"attribute","CWF Custom Approval Flow Stage Name","HR Resignation Approval","","","Active"
"attribute","CWF Custom Approval Flow Name","Position Creation Approval Flow","","","Draft"
"attribute","CWF Custom Approval Flow Stage Name","HOD","","","Draft"
"attribute","CWF Custom Approval Flow Stage Name","PnL Heads","","","Draft"
