"Type","Object Type","Default Value","Language","Translation","Status"
"attribute","CWF Work Flow Name","PIP Workflow","","","Active"
"attribute","CWF Work Flow Stage Name","PIP Goal Setting","","","Active"
"attribute","CWF Work Flow Stage Name","Employee Acknowledgement","","","Active"
"attribute","CWF Work Flow Stage Name","Week 1 - Manager Feedback","","","Active"
"attribute","CWF Work Flow Stage Name","Week 2 - Manager Feedback","","","Active"
"attribute","CWF Work Flow Stage Name","Week 3 - Manager Feedback","","","Active"
"attribute","CWF Work Flow Stage Name","Week 4 - Manager Feedback","","","Active"
"attribute","CWF Work Flow Stage Name","Final Manager Feedback","","","Active"
"attribute","CWF Work Flow Stage Name","HR Action","","","Active"
"attribute","CWF Work Flow Name","Asset Assignment","","","Active"
"attribute","CWF Work Flow Stage Name","IT Asset Assignment","","","Active"
"attribute","CWF Work Flow Name","Onboarding Document Collection","","","Active"
"attribute","CWF Work Flow Stage Name","Self","","","Active"
"attribute","CWF Work Flow Name","Onboarding","","","Active"
"attribute","CWF Work Flow Stage Name","IT Team","","","Active"
"attribute","CWF Work Flow Name","Compensation Workflow","","","Active"
"attribute","CWF Work Flow Stage Name","HR Team","","","Active"
"attribute","CWF Work Flow Stage Name","Intimation to employee","","","Active"
"attribute","CWF Work Flow Name","DUMMY","","","Active"
"attribute","CWF Work Flow Stage Name","Change","","","Active"
"attribute","CWF Work Flow Name","Contract Ending","","","Archived"
"attribute","CWF Work Flow Stage Name","Intimation","","","Archived"
"attribute","CWF Work Flow Name","Declaration","","","Active"
"attribute","CWF Work Flow Stage Name","Declaration","","","Active"
"attribute","CWF Work Flow Name","NDA","","","Active"
"attribute","CWF Work Flow Stage Name","NDA","","","Active"
"attribute","CWF Work Flow Name","Absconding","","","Active"
"attribute","CWF Work Flow Stage Name","Email Notification","","","Active"
"attribute","CWF Work Flow Stage Name","Employee acknowlegement","","","Active"
"attribute","CWF Work Flow Name","Designation Change","","","Active"
"attribute","CWF Work Flow Stage Name","Email","","","Active"
"attribute","CWF Work Flow Name","Business Card","","","Active"
"attribute","CWF Work Flow Stage Name","Admin","","","Active"
"attribute","CWF Work Flow Name","Contract Extension","","","Active"
"attribute","CWF Work Flow Stage Name","Intimation","","","Active"
"attribute","CWF Work Flow Stage Name","Employee","","","Active"
