"Separation Type",Reason,Status,"Created on","Updated on","Updated by"
Involuntary,Absconding,Inactive,07-Jul-2023,05-Nov-2023,
Involuntary,Absconding,Active,25-Oct-2023,23-Nov-2023,"Darwinbox Admin (DB006)"
Voluntary,Absconding,Inactive,25-Oct-2023,05-Nov-2023,
Voluntary,"Better Compensation",Active,13-Jun-2023,05-Nov-2023,
Voluntary,"Better Growth & Career Opportunity",Active,13-Jun-2023,05-Nov-2023,
Voluntary,"Career Break",Active,01-Aug-2023,05-Nov-2023,
Involuntary,"Changed to Permanent",Active,06-Oct-2023,23-Nov-2023,"Darwinbox Admin (DB006)"
Voluntary,"Company Culture",Inactive,13-Jun-2023,05-Nov-2023,
Involuntary,"Company Policy Violation",Active,01-Aug-2023,05-Nov-2023,
Voluntary,"Contract Ended",Inactive,06-Jul-2023,05-Nov-2023,
Voluntary,"Contract Ended",Active,01-Aug-2023,05-Nov-2023,
Involuntary,"Culture Misfit",Active,01-Aug-2023,05-Nov-2023,
Involuntary,"Culture misfit, inability to get along with others or reducing team productivity",Inactive,13-Jun-2023,05-Nov-2023,
Death,Death,Inactive,13-Jun-2023,05-Nov-2023,
Involuntary,Deceased,Active,01-Aug-2023,05-Nov-2023,
Death,Deceased,Active,23-Nov-2023,23-Nov-2023,"Darwinbox Admin (DB006)"
Involuntary,Disciplinary,Inactive,07-Jul-2023,05-Nov-2023,
Involuntary,"Dishonesty, evasion, or lack of integrity on the job",Inactive,13-Jun-2023,05-Nov-2023,
Involuntary,"Dismissal (Misconduct)",Inactive,03-Jul-2023,05-Nov-2023,
Voluntary,"Employee Resignation",Active,23-Nov-2023,23-Nov-2023,"Darwinbox Admin (DB006)"
Involuntary,"Employee Resignation",Active,23-Nov-2023,23-Nov-2023,"Darwinbox Admin (DB006)"
Voluntary,"Health Issues",Active,01-Aug-2023,05-Nov-2023,
Involuntary,"High Absentism",Active,01-Aug-2023,05-Nov-2023,
Involuntary,"High absenteeism or health issues",Inactive,13-Jun-2023,05-Nov-2023,
Involuntary,Indiscipline,Active,01-Aug-2023,05-Nov-2023,
Involuntary,Insubordination,Active,01-Aug-2023,05-Nov-2023,
Voluntary,"Issues with Manager",Inactive,03-Jul-2023,05-Nov-2023,
Voluntary,"Issues with Peers",Inactive,03-Jul-2023,05-Nov-2023,
Voluntary,"Job Dissatisfaction",Inactive,13-Jun-2023,05-Nov-2023,
Voluntary,"Job Dissatisfaction",Active,01-Aug-2023,05-Nov-2023,
Voluntary,"Job Uncertainty",Inactive,03-Jul-2023,05-Nov-2023,
Voluntary,"Lack of Career Opportunity",Inactive,03-Jul-2023,05-Nov-2023,
Involuntary,"Lay off",Active,01-Aug-2023,05-Nov-2023,
Involuntary,Layoff,Inactive,07-Jul-2023,05-Nov-2023,
Voluntary,Location,Inactive,03-Jul-2023,05-Nov-2023,
Involuntary,Misconduct,Active,01-Aug-2023,05-Nov-2023,
Involuntary,"No Projects",Inactive,07-Jul-2023,05-Nov-2023,
Involuntary,"No projects",Active,01-Aug-2023,05-Nov-2023,
Involuntary,"Non Performance",Active,01-Aug-2023,05-Nov-2023,
Involuntary,"Non-performance or slow performance",Inactive,13-Jun-2023,05-Nov-2023,
Voluntary,"Personal commitments",Active,13-Jun-2023,05-Nov-2023,
Voluntary,"Pursuing Higher Studies",Active,03-Jul-2023,05-Nov-2023,
Involuntary,"Refusing to follow rules, orders or processes",Inactive,13-Jun-2023,05-Nov-2023,
Voluntary,Relocation,Active,03-Jul-2023,05-Nov-2023,
Involuntary,Resignation,Inactive,07-Jul-2023,05-Nov-2023,
Voluntary,Resignation,Inactive,07-Jul-2023,05-Nov-2023,
Involuntary,Resignation,Archived,23-Nov-2023,24-Nov-2023,"Darwinbox Admin (DB006)"
Voluntary,Resignation,Inactive,23-Nov-2023,24-Nov-2023,"Darwinbox Admin (DB006)"
Voluntary,Resignation,Archived,24-Nov-2023,24-Nov-2023,"Darwinbox Admin (DB006)"
Voluntary,"Resigned - Company Requested",Active,01-Aug-2023,05-Nov-2023,
Voluntary,"Resigned and Absconded",Inactive,06-Jul-2023,05-Nov-2023,
Voluntary,Retirement,Active,01-Aug-2023,05-Nov-2023,
Involuntary,Terminated,Inactive,07-Jul-2023,05-Nov-2023,
Involuntary,Termination,Inactive,03-Jul-2023,05-Nov-2023,
Involuntary,Termination,Active,23-Nov-2023,23-Nov-2023,"Darwinbox Admin (DB006)"
Retired,"Voluntary Retirement",Inactive,13-Jun-2023,05-Nov-2023,
Voluntary,"Work life balance",Inactive,03-Jul-2023,05-Nov-2023,
