Company,"Business Unit","Department Name","Department Code","Parent Department Code","Business Unit Name","Business Unit Code","Top Department","Project Allocated","Project Allocated Name","Project Allocated Code",HOD,"Performance HOD","Functional Head","Head HR","Group HR Head","Head Level Access","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9",Status,Capability
"PrimeSoft IP Solutions Private Limited.",,Accounts,PSI.F.ACC,PSI.F,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (PSI.C)","Finance (PSI.F)","Accounts (PSI.F.ACC)",,,,,,,Active,
"Tejora Private Limited",,Accounts,TPL.F.ACC,TPL.F,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Finance (TPL.F)","Accounts (TPL.F.ACC)",,,,,,,Active,
"Tejora Private Limited",,Admin,TPL.AD.AD,TPL.A,,,,,,,,,,,,,"CEO (TPL.C)","Adminstration (TPL.A)","Admin (TPL.AD.AD)",,,,,,,Active,
PrimeSoft,,"Admin Executive",PSI.A.BGAD,,,,,,,,,,,,,,"Admin Executive (PSI.A.BGAD)",,,,,,,,,Archived,
"Tejora Private Limited",,Adminstration,TPL.A,TPL.C,,,,,,,,,,,,,"CEO (TPL.C)","Adminstration (TPL.A)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,Adminstration,PSI.A,PSI.C,,,,,,,,,,,,,"CEO (PSI.C)","Adminstration (PSI.A)",,,,,,,,Active,
PrimeSoft,,"Application Support",PSI.AS,,,,,,,,,,,,,,"Application Support (PSI.AS)",,,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"Application Support",PSI.QA.AS,PSI.QA,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)","Quality Assurance (PSI.QA)","Application Support (PSI.QA.AS)",,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Application Support",PSI.C.DS.AS,PSI.C.DS,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Database Support (PSI.C.DS)","Application Support (PSI.C.DS.AS)",,,,,,,Active,
"Tejora Private Limited",,"Application Support",TPL.DS.AS,TPL.DS,,,,,,,,,,,,,"CEO (TPL.C)","Database Support (TPL.DS)","Application Support (TPL.DS.AS)",,,,,,,Active,
