"Designation Name","Designation Code",Status,"Created On","Created By","Updated On","Updated By","Effective From"
CEO,Des_1,Active,"16-06-2023 00:20:59",,,,
Director,Des_2,Active,"16-06-2023 00:21:00",,,,
"Program Manager",Des_3,Active,"16-06-2023 00:21:00",,,,
"Senior HR Manager",Des_4,Active,"16-06-2023 00:21:00",,,,
"Manager Systems Admin",Des_5,Active,"16-06-2023 00:21:01",,,,
"Senior Manager",Des_6,Active,"16-06-2023 00:21:02",,,,
"DevOps Manager",Des_7,Active,"16-06-2023 00:21:02",,,,
"Technical Lead",Des_8,Active,"16-06-2023 00:21:03",,,,
"Tech Lead",Des_9,Active,"16-06-2023 00:21:03",,,,
"Senior Software Engineer",Des_10,Active,"16-06-2023 00:21:04",,,,
"Vice President",Des_11,Active,"16-06-2023 00:21:04",,,,
"Project Lead",Des_12,Active,"16-06-2023 00:21:05",,,,
"Software Designer",Des_13,Active,"16-06-2023 00:21:05",,,,
"QA Engineer",Des_14,Active,"16-06-2023 00:21:06",,,,
"Team Lead",Des_15,Active,"16-06-2023 00:21:06",,,,
"Lead QA Engineer",Des_16,Active,"16-06-2023 00:21:07",,,,
"Manager Quality Assurance",Des_17,Active,"16-06-2023 00:21:07",,,,
"Technical Manager",Des_18,Active,"16-06-2023 00:21:08",,,,
"Admin Executive",Des_19,Active,"16-06-2023 00:21:08",,,,
"DevOps Engineer",Des_20,Active,"16-06-2023 00:21:09",,,,
"UI Architect",Des_21,Active,"16-06-2023 00:21:09",,,,
"Senior Admin Executive",Des_22,Active,"16-06-2023 00:21:10",,,,
"Manager IT Operations",Des_23,Active,"16-06-2023 00:21:10",,,,
"Senior QA Engineer",Des_24,Active,"16-06-2023 00:21:11",,,,
"Lead Developer",Des_25,Active,"16-06-2023 00:21:11",,,,
"Senior Director",Des_26,Active,"16-06-2023 00:21:12",,"04-01-2024 16:12:44","[REDACTED]",16-06-2023
"UI Designer",Des_27,Active,"16-06-2023 00:21:12",,,,
"Senior UI Designer",Des_28,Active,"16-06-2023 00:21:13",,,,
"Manager DevOps",Des_29,Active,"16-06-2023 00:21:13",,,,
"Senior Manager Cloud and Automation",Des_30,Active,"16-06-2023 00:21:14",,,,
"Senior DevOps Engineer",Des_31,Active,"16-06-2023 00:21:14",,,,
"DevOps Lead",Des_32,Active,"16-06-2023 00:21:15",,,,
"Senior HR Executive",Des_33,Active,"16-06-2023 00:21:15",,,,
"Software Engineer",Des_34,Active,"16-06-2023 00:21:16",,,,
"DevOps Support Engineer",Des_35,Active,"16-06-2023 00:21:16",,,,
"Technical Architect",Des_36,Active,"16-06-2023 00:21:17",,,,
"DevOps Support Lead ",Des_37,Active,"16-06-2023 00:21:17",,,,
"UI Developer",Des_38,Active,"16-06-2023 00:21:18",,,,
"Accounts Manager",Des_39,Active,"16-06-2023 00:21:18",,,,
"Associate Engineer",Des_40,Active,"16-06-2023 00:21:19",,,,
"Systems Admin",Des_41,Active,"16-06-2023 00:21:19",,,,
"Support Engineer",Des_42,Active,"16-06-2023 00:21:20",,,,
"DevOps System Engineer",Des_43,Active,"16-06-2023 00:21:20",,,,
"Business Development Lead",Des_44,Active,"16-06-2023 00:21:21",,,,
"Senior System Engineer",Des_45,Active,"16-06-2023 00:21:21",,,,
"SEO Associate",Des_46,Active,"16-06-2023 00:21:22",,,,
"HR Executive",Des_47,Active,"16-06-2023 00:21:22",,,,
"Associate Creative Designer ",Des_48,Active,"16-06-2023 00:21:23",,,,
"UI Lead",Des_49,Active,"16-06-2023 00:21:24",,,,
"HR Recruiter",Des_50,Active,"16-06-2023 00:21:24",,,,
"Content writer",Des_51,Active,"16-06-2023 00:21:25",,,,
"FinOps Analyst",Des_52,Active,"16-06-2023 00:21:25",,,,
"Senior Test Engineer",Des_53,Active,"16-06-2023 00:21:26",,,,
"Android Developer",Des_54,Active,"16-06-2023 00:21:26",,,,
"Accounts Executive",Des_55,Active,"16-06-2023 00:21:27",,,,
"Senior SEO Specialist",Des_56,Active,"16-06-2023 00:21:27",,,,
"System Administrator",Des_57,Active,"16-06-2023 00:21:28",,,,
"Talent Acquisition Executive ",Des_58,Active,"16-06-2023 00:21:28",,,,
"Performance Marketing Strategist",Des_59,Active,"16-06-2023 00:21:29",,,,
"Inside Sales associate",Des_60,Active,"16-06-2023 00:21:29",,,,
"Business Analyst",Des_61,Active,"16-06-2023 00:21:30",,,,
"Senior Content Writer",Des_62,Active,"16-06-2023 00:21:30",,,,
"Business Development ",Des_63,Active,"16-06-2023 00:21:31",,,,
AVP,Des_64,Active,"16-06-2023 00:21:31",,,,
"SEO Analyst",Des_65,Active,"16-06-2023 00:21:32",,,,
"Application Network Engineer ",Des_66,Active,"16-06-2023 00:21:32",,,,
"Director Operations",Des_67,Active,"16-06-2023 00:21:33",,,,
Consultant,Des_68,Active,"16-06-2023 00:21:33",,,,
"Inside Sales Executive",Des_69,Active,"16-06-2023 00:21:34",,,,
"Human Resource Executive",Des_70,Active,"16-06-2023 00:21:34",,,,
"Senior ManagerBusiness Development",Des_71,Active,"16-06-2023 00:21:35",,,,
"Performance test engineer",Des_72,Active,"16-06-2023 00:21:35",,,,
"Manager HR",Des_73,Active,"16-06-2023 00:21:36",,,,
"Manager Presales",Des_74,Active,"16-06-2023 00:21:36",,,,
"Senior Engineer Systems",Des_75,Active,"16-06-2023 00:21:37",,,,
"Senior Software Engineer QA",Des_76,Active,"16-06-2023 00:21:37",,,,
"Manager Business Development",Des_77,Active,"16-06-2023 00:21:38",,,,
"Senior Executive PMO and HR",Des_78,Active,"16-06-2023 00:21:38",,,,
"Lead Technology",Des_79,Active,"16-06-2023 00:21:39",,,,
"Senior Executive Talent Acquisition",Des_80,Active,"16-06-2023 00:21:39",,,,
"AVP Projects",Des_81,Active,"16-06-2023 00:21:40",,,,
"AVP Compliance and Acccounts",Des_82,Active,"16-06-2023 00:21:40",,,,
"Senior Software Engineer UI",Des_83,Active,"16-06-2023 00:21:41",,,,
"Lead Product BA",Des_84,Active,"16-06-2023 00:21:41",,,,
"Manager TA & PMO",Des_85,Active,"16-06-2023 00:21:42",,,,
"Senior Executive Administration & Legal",Des_86,Active,"16-06-2023 00:21:42",,,,
"Senior Engineer Application Support",Des_87,Active,"16-06-2023 00:21:43",,,,
"Engineer Application Support",Des_88,Active,"16-06-2023 00:21:43",,,,
"Associate HR",Des_89,Active,"16-06-2023 00:21:44",,,,
"Software Engineer Oracle DBA",Des_90,Active,"16-06-2023 00:21:44",,,,
"Executive Talent Acquisition",Des_91,Active,"16-06-2023 00:21:45",,,,
"Senior Executive Product BA",Des_92,Active,"16-06-2023 00:21:45",,,,
"Software Engineer QA",Des_93,Active,"16-06-2023 00:21:46",,,,
"Manager Projects",Des_94,Active,"16-06-2023 00:21:46",,,,
"Lead Application Support",Des_95,Active,"16-06-2023 00:21:47",,,,
"Engineer Production Support",Des_96,Active,"16-06-2023 00:21:47",,,,
"Executive Accounts",Des_97,Active,"16-06-2023 00:21:48",,,,
"Senior Executive Product",Des_98,Active,"16-06-2023 00:21:48",,,,
"Executive Assistant",Des_99,Active,"16-06-2023 00:21:49",,,,
"AVP Compliance and Acccounts",Des_100,Archived,"04-07-2023 17:37:52",,,,
"AVP Projects",Des_101,Archived,"04-07-2023 17:37:52",,,,
"Accounts Executive",Des_102,Archived,"04-07-2023 17:37:53",,,,
"Application Network Engineer ",Des_103,Archived,"04-07-2023 17:37:53",,,,
"Associate Creative Designer ",Des_104,Archived,"04-07-2023 17:37:54",,,,
"Business Development ",Des_105,Archived,"04-07-2023 17:37:54",,,,
"Business Development Lead",Des_106,Archived,"04-07-2023 17:37:55",,,,
CEO,Des_107,Archived,"04-07-2023 17:37:55",,,,
"DevOps Manager",Des_108,Archived,"04-07-2023 17:37:56",,,,
"Engineer Production Support",Des_109,Archived,"04-07-2023 17:37:56",,,,
"Executive Assistant",Des_110,Archived,"04-07-2023 17:37:57",,,,
"HR Recruiter",Des_111,Archived,"04-07-2023 17:37:58",,,,
"Lead Application Support",Des_112,Archived,"04-07-2023 17:37:58",,,,
"Lead Developer",Des_113,Archived,"04-07-2023 17:37:59",,,,
"Lead Product BA",Des_114,Archived,"04-07-2023 17:37:59",,,,
"Lead QA Engineer",Des_115,Archived,"04-07-2023 17:38:00",,,,
"Manager DevOps",Des_116,Archived,"04-07-2023 17:38:00",,,,
"Manager HR",Des_117,Archived,"04-07-2023 17:38:01",,,,
"Manager IT Operations",Des_118,Archived,"04-07-2023 17:38:01",,,,
"Manager Presales",Des_119,Archived,"04-07-2023 17:38:02",,,,
"Manager Systems Admin",Des_120,Archived,"04-07-2023 17:38:02",,,,
"Manager TA & PMO",Des_121,Archived,"04-07-2023 17:38:03",,,,
"Performance Marketing Strategist",Des_122,Archived,"04-07-2023 17:38:03",,,,
"Performance test engineer",Des_123,Archived,"04-07-2023 17:38:04",,,,
"SEO Analyst",Des_124,Active,"04-07-2023 17:38:04",,,,
"Senior Admin Executive",Des_125,Archived,"04-07-2023 17:38:05",,,,
"Senior Director",Des_126,Archived,"04-07-2023 17:38:06",,,,
"Senior Engineer Systems",Des_127,Active,"04-07-2023 17:38:06",,,,
"Senior Executive Administration & Legal",Des_128,Active,"04-07-2023 17:38:07",,,,
"Senior Executive PMO and HR",Des_129,Archived,"04-07-2023 17:38:07",,,,
"Senior HR Manager",Des_130,Active,"04-07-2023 17:38:08",,,,
"Senior Manager",Des_131,Active,"04-07-2023 17:38:08",,,,
"Senior Manager Cloud and Automation",Des_132,Active,"04-07-2023 17:38:09",,,,
"Senior Test Engineer",Des_133,Active,"04-07-2023 17:38:09",,,,
"Software Designer",Des_134,Active,"04-07-2023 17:38:10",,,,
"Software Engineer Oracle DBA",Des_135,Active,"04-07-2023 17:38:10",,,,
"Talent Acquisition Executive ",Des_136,Active,"04-07-2023 17:38:11",,,,
"UI Lead",Des_137,Active,"04-07-2023 17:38:11",,,,
Accountant,DESG_1,Active,"05-07-2023 02:37:42",,"05-07-2023 03:00:28",,05-07-2023
" Administrative Executive",DESG_2,Active,"05-07-2023 02:37:42",,,,
" Assistant Manager HR",DESG_3,Active,"05-07-2023 02:37:43",,,,
" Assistant Manager Inside Sales",DESG_4,Active,"05-07-2023 02:37:43",,,,
" Associate Accounts",DESG_5,Active,"05-07-2023 02:37:44",,,,
" Associate Admin",DESG_6,Active,"05-07-2023 02:37:44",,,,
" Associate Business Analyst",DESG_7,Active,"05-07-2023 02:37:45",,,,
" Associate Designer",DESG_8,Active,"05-07-2023 02:37:46",,,,
" Associate Inside Sales",DESG_9,Active,"05-07-2023 02:37:46",,,,
" Associate Systems Administrator",DESG_10,Active,"05-07-2023 02:37:47",,,,
" Associate Technical Support",DESG_11,Active,"05-07-2023 02:37:47",,,,
" Automation Lead",DESG_12,Active,"05-07-2023 02:37:48",,,,
" Automation Lead Engineer",DESG_13,Active,"05-07-2023 02:37:48",,,,
" AVP Finance",DESG_14,Active,"05-07-2023 02:37:49",,,,
" AVP Technology",DESG_15,Active,"05-07-2023 02:37:49",,,,
" AVP Technology Solution Architect",DESG_16,Active,"05-07-2023 02:37:50",,,,
" Business Development Manager",DESG_17,Active,"05-07-2023 02:37:50",,,,
" Creative Designer",DESG_18,Active,"05-07-2023 02:37:51",,,,
" CTO",DESG_19,Active,"05-07-2023 02:37:52",,,,
" Customer Engagement Manager",DESG_20,Active,"05-07-2023 02:37:52",,,,
" DevOps Support Lead",DESG_21,Active,"05-07-2023 02:37:53",,,,
" Director",DESG_22,Active,"05-07-2023 02:37:53",,,,
" Engineer DevOps",DESG_23,Active,"05-07-2023 02:37:54",,,,
" Engineer Systems",DESG_24,Active,"05-07-2023 02:37:54",,,,
" Executive HR",DESG_25,Active,"05-07-2023 02:37:55",,,,
" Executive Inside Sales",DESG_26,Active,"05-07-2023 02:37:55",,,,
" Executive Product",DESG_27,Active,"05-07-2023 02:37:56",,,,
" Executive Product BA",DESG_28,Active,"05-07-2023 02:37:57",,,,
" Founder and Director",DESG_29,Active,"05-07-2023 02:37:57",,,,
" Hadoop Administrator",DESG_30,Active,"05-07-2023 02:37:58",,,,
" Help Desk Executive",DESG_31,Active,"05-07-2023 02:37:58",,,,
" HR Associate",DESG_32,Active,"05-07-2023 02:37:59",,,,
" HR Lead",DESG_33,Active,"05-07-2023 02:37:59",,,,
" HR Trainee",DESG_34,Active,"05-07-2023 02:38:00",,,,
" Intern",DESG_35,Active,"05-07-2023 02:38:00",,,,
" Junior QA Engineer",DESG_36,Active,"05-07-2023 02:38:01",,,,
" Junior Software Engineer",DESG_37,Active,"05-07-2023 02:38:01",,,,
" Junior System Admin",DESG_38,Active,"05-07-2023 02:38:02",,,,
" Lead Cisco Voice",DESG_39,Active,"05-07-2023 02:38:03",,,,
" Lead Data Solutions",DESG_40,Active,"05-07-2023 02:38:03",,,,
" Lead Digital Marketing",DESG_41,Active,"05-07-2023 02:38:04",,,,
" Lead Engineer",DESG_42,Active,"05-07-2023 02:38:04",,,,
" Lead HR",DESG_43,Active,"05-07-2023 02:38:05",,,,
" Lead Presales",DESG_44,Active,"05-07-2023 02:38:05",,,,
" Lead Product",DESG_45,Active,"05-07-2023 02:38:06",,,,
" Lead Projects",DESG_46,Active,"05-07-2023 02:38:06",,,,
" Lead QA",DESG_47,Active,"05-07-2023 02:38:07",,,,
" Lead Quality Initiatives",DESG_48,Archived,"05-07-2023 02:38:07",,,,
" Lead Talent Acquisition",DESG_49,Active,"05-07-2023 02:38:08",,,,
" Lead Technology &amp; Presales",DESG_50,Active,"05-07-2023 02:38:08",,,,
" Lead UI UX",DESG_51,Active,"05-07-2023 02:38:09",,,,
" Manager Operations",DESG_52,Active,"05-07-2023 02:38:09",,,,
" Manager Product",DESG_53,Active,"05-07-2023 02:38:10",,,,
" Manager Product BA",DESG_54,Active,"05-07-2023 02:38:11",,,,
" Manager Service Delivery",DESG_55,Active,"05-07-2023 02:38:11",,,,
" Manager Talent Aquistion &amp; presales",DESG_56,Active,"05-07-2023 02:38:12",,,,
" Manager Technology AWS",DESG_57,Active,"05-07-2023 02:38:12",,,,
" Marketing Associate",DESG_58,Active,"05-07-2023 02:38:13",,,,
" Marketing Executive",DESG_59,Active,"05-07-2023 02:38:13",,,,
" Network Admin",DESG_60,Active,"05-07-2023 02:38:14",,,,
" NOC Engineer",DESG_61,Active,"05-07-2023 02:38:14",,,,
" Practice Lead",DESG_62,Active,"05-07-2023 02:38:15",,,,
" Principal Consultant",DESG_63,Active,"05-07-2023 02:38:15",,,,
" Product Management",DESG_64,Active,"05-07-2023 02:38:16",,,,
" Product Manager",DESG_65,Active,"05-07-2023 02:38:16",,,,
" Project Co-ordinator",DESG_66,Active,"05-07-2023 02:38:17",,,,
" Project Manager",DESG_67,Active,"05-07-2023 02:38:17",,,,
" QA Lead",DESG_68,Active,"05-07-2023 02:38:18",,,,
" Senior Automation Engineer",DESG_69,Active,"05-07-2023 02:38:18",,,,
" Senior Business Development Lead",DESG_70,Active,"05-07-2023 02:38:19",,,,
" Senior Developer UI &amp; SEO",DESG_71,Active,"05-07-2023 02:38:20",,,,
" Senior DevOps Support Engineer",DESG_72,Active,"05-07-2023 02:38:20",,,,
" Senior Executive Accounts",DESG_73,Active,"05-07-2023 02:38:21",,,,
" Senior Executive Business Development",DESG_74,Active,"05-07-2023 02:38:21",,,,
" Senior Inside Sales Executive",DESG_75,Active,"05-07-2023 02:38:22",,,,
" Senior Inside Sales Specialist",DESG_76,Active,"05-07-2023 02:38:22",,,,
" Senior Manager Architect",DESG_77,Active,"05-07-2023 02:38:23",,,,
" Senior Manager Projects",DESG_78,Active,"05-07-2023 02:38:23",,,,
" Senior Manager Service Delivery",DESG_79,Active,"05-07-2023 02:38:24",,,,
" Senior Manager Technical Architect",DESG_80,Active,"05-07-2023 02:38:24",,,,
" Senior Sales Director",DESG_81,Active,"05-07-2023 02:38:25",,,,
" Senior Sales Manager",DESG_82,Active,"05-07-2023 02:38:25",,,,
" Senior Software Engineer My Sql DBA",DESG_83,Active,"05-07-2023 02:38:26",,,,
" Senior Support Engineer",DESG_84,Active,"05-07-2023 02:38:26",,,,
" Senior Systems Admin",DESG_85,Active,"05-07-2023 02:38:27",,,,
" Senior UI Engineer",DESG_86,Active,"05-07-2023 02:38:27",,,,
" Senior Visual Designer",DESG_87,Active,"05-07-2023 02:38:28",,,,
" Senior Visualiser",DESG_88,Active,"05-07-2023 02:38:28",,,,
" Senior VOIP Engineer",DESG_89,Active,"05-07-2023 02:38:29",,,,
" SEO Manager",DESG_90,Active,"05-07-2023 02:38:30",,,,
" SEO Specialist",DESG_91,Active,"05-07-2023 02:38:30",,,,
" Social Media Strategist",DESG_92,Active,"05-07-2023 02:38:31",,,,
" Software Engineer Application support",DESG_93,Active,"05-07-2023 02:38:31",,,,
" Software Engineer UI Designer",DESG_94,Active,"05-07-2023 02:38:32",,,,
" Software Engineer UI/UX Designer",DESG_95,Active,"05-07-2023 02:38:32",,,,
" Software Engineer VOIP",DESG_96,Archived,"05-07-2023 02:38:33",,,,
" System Architect",DESG_97,Active,"05-07-2023 02:38:33",,,,
" Team Lead - QA",DESG_98,Archived,"05-07-2023 02:38:34",,,,
" Technical Architect- Enterprise and Wireless Application",DESG_99,Active,"05-07-2023 02:38:34",,,,
" Technical Writer",DESG_100,Active,"05-07-2023 02:38:35",,"05-01-2024 11:59:55","[REDACTED]",05-07-2023
" Test Automation Lead",DESG_101,Active,"05-07-2023 02:38:35",,,,
" Test Engineer",DESG_102,Active,"05-07-2023 02:38:36",,,,
" Test Lead",DESG_103,Active,"05-07-2023 02:38:37",,,,
" Trainee",DESG_104,Active,"05-07-2023 02:38:37",,,,
" Trainee Engineer",DESG_105,Active,"05-07-2023 02:38:38",,,,
" Trainee Software Engineer",DESG_106,Active,"05-07-2023 02:38:38",,,,
" UI Engineer",DESG_107,Active,"05-07-2023 02:38:39",,,,
" US IT Recruiter",DESG_108,Active,"05-07-2023 02:38:39",,,,
" VOIP Engineer",DESG_109,Active,"05-07-2023 02:38:40",,,,
" VP Technology",DESG_110,Active,"05-07-2023 02:38:40",,,,
" Wordpress lead",DESG_111,Active,"05-07-2023 02:38:41",,,,
Accountant,DE_1,Active,"05-07-2023 03:09:52",,,,
"Admin Executive",DE_2,Active,"05-07-2023 03:09:52",,,,
"Administrative Executive",DE_3,Active,"05-07-2023 03:09:53",,,,
"Android Developer",DE_4,Archived,"05-07-2023 03:09:53",,,,
"Assistant Manager HR",DE_5,Active,"05-07-2023 03:09:54",,,,
"Assistant Manager Inside Sales",DE_6,Active,"05-07-2023 03:09:54",,,,
"Associate Accounts",DE_7,Active,"05-07-2023 03:09:55",,,,
"Associate Admin",DE_8,Active,"05-07-2023 03:09:55",,,,
"Associate Business Analyst",DE_9,Active,"05-07-2023 03:09:56",,,,
"Associate Designer",DE_10,Active,"05-07-2023 03:09:56",,,,
