Company,"Office Area","Office Address","Office Email","Mobile Number","Telephone Number",Pincode,"Office City","Office State","Office Country","City Code","State Code","Country Code","Parent Location","Location Type","City Type","Centre Type","Project Allocated","Location Head","Work Area Code","Location Area","Registered Office",Status,"SSO Phone Number","SSO Branch Name EN","SSO Branch Name in Thai","SSO Branch Number"
"Igenero Web Solutions Private Limited","Brigade Peenya","104 and 105, 1st Floor, #20, Brigade RUBIX, HMT Watch Factory Road, Stage 1, Peenya",,,,560013,Bengaluru,Karnataka,India,,19,104,,,,,,,IWSPL.BBK,,No,Active,,,,
"PrimeSoft IP Solutions Private Limited.","Brigade Peenya","104 and 105, 1st Floor, 20, Brigade RUBIX, HMT Watch Factory Road, Stage 1, Peenya",,,,,Bengaluru,Karnataka,India,,19,104,,,,,,,PSI.BBK,,No,Active,,,,
"Tejora Private Limited","Brigade Peenya","104 and 105, 1st Floor, 20, Brigade RUBIX, HMT Watch Factory Road, Stage 1, Peenya",,,,560013,Bengaluru,Karnataka,India,,19,104,,,,,,,TPL.BBK,,No,Active,,,,
"PrimeSoft IP Solutions Private Limited.",Columbia,"Software Consortium, LLC
d/b/a PrimeSoft, 8815 Centre Park Drive,
Suite 220, Columbia, MD",,,," 21045",Columbia,Maryland,"United States",C16668133375704,MD,230,,,,,,,PSI.USML,,No,Active,,,,
"PrimeSoft IP Solutions Private Limited.","Malad Mindspace","Unit No.707 & 708, C Wing, Eureka Towers, Mindspace, Link Road, Malad West",,,,,Mumbai,Maharashtra,India,C16668148879950,16,104,,,,,,,PSI.ETMI,,No,Active,,,,
"Tejora Private Limited","Malad Mindspace","Unit No.707 & 708, C Wing, Eureka Towers, Mindspace, Link Road, Malad West",,,,,Mumbai,Maharashtra,India,C16668148879950,16,104,,,,,,,TPL.ETMI,,No,Active,,,,
"PrimeSoft IP Solutions Private Limited.","Metropolis- Whitefield","7th Floor, Summit B, Whitefield Main Rd, Brigade Metropolis, Garudachar Palya, Mahadevapura",,,,560048,Bengaluru,Karnataka,India,,19,104,,,,,,,PSI.WFBK,,No,Active,,,,
"Tejora Private Limited","Metropolis- Whitefield","8th Floor, Whitefield Main Rd, Brigade Metropolis, Garudachar Palya, Mahadevapura",,,,560048,Bengaluru,Karnataka,India,,19,104,,,,,,,TPL.WFBK,,No,Active,,,,
"PrimeSoft IP Solutions Private Limited.","Prestige Sky Tech","Prestige Sky Tech, Unit No 1032-1, 3rd Floor ,Wing A (Sky one), Financial District, Nanakramguda, Telangana 500032",,,,500032,Hyderabad,Telangana,India,C16668135502955,99,104,,,,,,,PSI.PST.Hyd,Nanakramguda,Yes,Active,,,,
"PrimeSoft IP Solutions Private Limited.","Q City","6th Floor, B Block, Q City, Serilingampally, Nanakramguda",,,,500032,Hyderabad,Telangana,India,C16668135502955,99,104,,,,,,,PSI.QHT,,No,Active,,,,
"Tejora Private Limited","Q City","6th Floor, B Block, Q City, Serilingampally, Nanakramguda",,,,500032,Hyderabad,Telangana,India,C16668135502955,99,104,,,,,,,TPL.QHT,,No,Active,,,,
"Igenero Web Solutions Private Limited","Q City","6th Floor, B Block, Q City, Serilingampally, Nanakramguda",,,,500032,Hyderabad,Telangana,India,C16668135502955,99,104,,,,,,,IWSPL.QHT,,No,Active,,,,
