"Probation Name","Set Probation Period In (Days)","Set Probation Period In (Months)","Duration of Probation *","Show In Probation Extension","Extend Confirmation(In Case Of Auto Confirmation)","Start Probation Period From Assigned Date",Status,"Created On","Updated On","Updated By"
"6 Months",No,Yes,6,No,Yes,Yes,Active,"16-06-2023 10:00:08","26-06-2024 14:24:00","Darwinbox Admin"
"1 month extension",No,Yes,7,Yes,No,No,Active,"16-06-2023 10:00:40","08-04-2024 15:32:14","Darwinbox Admin"
"2 months extension",No,Yes,8,Yes,No,No,Active,"21-06-2023 11:19:14","08-04-2024 15:32:09","Darwinbox Admin"
"3 months extension",No,Yes,9,Yes,No,No,Active,"21-06-2023 11:20:39","15-04-2024 16:24:31","[REDACTED]"
"3 Months",No,Yes,3,No,No,No,Active,"15-11-2023 10:26:44","08-04-2024 15:31:22","Darwinbox Admin"
"Extended probation",No,Yes,12,Yes,No,No,Archived,"15-04-2024 10:38:10","15-04-2024 10:39:09","Darwinbox Admin"
"Extended probation",No,Yes,12,Yes,No,No,Archived,"15-04-2024 11:31:48","15-04-2024 14:20:08","Darwinbox Admin"
"6 months extension",No,Yes,12,Yes,No,No,Active,"15-04-2024 16:12:32","15-04-2024 16:12:32","[REDACTED]"
"4 months extension",No,Yes,"10 ",Yes,No,No,Active,"15-04-2024 16:22:04","15-04-2024 16:24:40","[REDACTED]"
"5 months extension",No,Yes,11,Yes,No,No,Active,"15-04-2024 16:22:32","15-04-2024 16:24:14","[REDACTED]"
"0 months",No,Yes,0,No,No,No,Active,"16-04-2024 16:42:24","16-04-2024 16:42:24","Darwinbox Admin"
"1 Month",No,Yes,1,No,No,No,Active,"08-04-2026 13:25:26","08-04-2026 13:25:26","[REDACTED]"
