"Weekly Off Name",Description,"Non working days",Status,"Created On","Created By","Updated On","Updated By"
"Saturday Sunday",,"All Saturday, All Sunday",Archived,"20-06-2023 02:09:19",,"20-06-2023 02:10:25",
"Sunday And Monday Weekly Off",,"All Sunday, All Monday",Active,"20-06-2023 02:10:12",,,
"Saturday And Sunday Weekly Off",,"All Saturday, All Sunday",Active,"20-06-2023 02:10:25",,,
"Monday And Tuesday Weekly Off",,"All Monday, All Tuesday",Active,"20-06-2023 02:10:38",,,
"Tuesday And Wednesday Weekly Off",,"All Tuesday, All Wednesday",Active,"20-06-2023 02:10:58",,,
"Wednesday And Thrusday Weekly Off",,"All Wednesday, All Thursday",Archived,"20-06-2023 02:11:15",,"10-07-2023 13:11:51",
"Thursday And Friday Weekly Off",,"All Thursday, All Friday",Active,"20-06-2023 02:11:39",,,
"Friday And Saturday Weekly Off",,"All Saturday, All Friday",Archived,"20-06-2023 02:12:00",,"14-08-2024 11:35:18","[REDACTED]"
"Wednesday And Thursday Weekly Off",,"All Wednesday, All Thursday",Active,"10-07-2023 13:11:52",,,
"Saturday Weekly Off",,"All Saturday",Active,"10-01-2024 12:53:09","[REDACTED]",,
"Sunday Weekly Off",,"All Sunday",Active,"10-01-2024 12:53:31","[REDACTED]",,
"Friday Saturday And Sunday Weekly Off",,"All Saturday, All Sunday, All Friday",Active,"10-01-2024 12:54:01","[REDACTED]",,
"Wednesday And Friday Weekly Off",,"All Wednesday, All Friday",Active,"14-08-2024 11:16:14","[REDACTED]",,
"Friday And Saturday Weekly Off",,"All Saturday, All Friday",Active,"14-08-2024 11:35:18","[REDACTED]",,
"Wednesday Friday Saturday And Sunday Weekly Off","Geeta Weekly off","All Saturday, All Sunday, All Wednesday, All Friday",Active,"29-08-2024 11:41:22","[REDACTED]",,
"Monday Tuesday  Wednesday Saturday And Sunday Weekly Off","Vinay Weekly off","All Saturday, All Sunday, All Monday, All Tuesday, All Wednesday",Active,"29-08-2024 11:42:10","[REDACTED]",,
"Saturday 2nd n 4th Weekly off",,"Even (2nd,4th) Saturday",Archived,"08-11-2024 11:23:18","[REDACTED]","08-11-2024 11:25:25","[REDACTED]"
"Saturday 2nd n 4th n Sunday Weekly off",,"Even (2nd,4th) Saturday, All Sunday",Active,"08-11-2024 11:25:25","[REDACTED]",,
"Alternate Saturdays","For Invoicemart ","Alternate Saturday",Active,"23-04-2025 11:31:45","[REDACTED]",,
