"Goal Plan ID",Methodology,"Enable Sub Goals","Goal Plan Name","Goal Plan Description","Start Date","End Date","User Assignment","Exclusion Setting","Goal Name - Enable","Goal Name - Mandatory","Goal Name - Editable","Goal Name - Need Approval","Goal Achievement Percentage - Enable","Goal Achievement Percentage - Mandatory","Goal Achievement Percentage - Editable","Goal Achievement Percentage - Need Approval","Goal Description - Enable","Goal Description - Mandatory","Goal Description - Editable","Goal Description - Need Approval","Goal Timelines - Enable","Goal Timelines - Mandatory","Goal Timelines - Editable","Goal Timelines - Need Approval","Goal Status - Enable","Goal Status - Mandatory","Goal Status - Editable","Goal Status - Need Approval","Goal Weightage - Enable","Goal Weightage - Mandatory","Goal Weightage - Editable","Goal Weightage - Need Approval","Goal Target - Enable","Goal Target - Mandatory","Goal Target - Editable","Goal Target - Need Approval","Goal Target Type - Enable","Goal Target Type - Mandatory","Goal Target Type - Editable","Goal Target Type - Need Approval","Goal Metric - Enable","Goal Metric - Mandatory","Goal Metric - Editable","Goal Metric - Need Approval","Goal Scorecard Pillar - Enable","Goal Scorecard Pillar - Mandatory","Goal Scorecard Pillar - Editable","Goal Scorecard Pillar - Need Approval","Goal Tags - Enable","Goal Tags - Mandatory","Goal Tags - Editable","Goal Tags - Need Approval","Goal Achieved - Enable","Goal Achieved - Mandatory","Goal Achieved - Editable","Goal Achieved - Need Approval","Goal Visibility - Enable","Goal Visibility - Editable","Goal Visibility - Need Approval","Goal Aligned to - Enable","Goal Aligned to - Mandatory","Goal Aligned to - Editable","Goal Aligned to - Need Approval","Goal Score - Enable","Goal Achievement Matrix - Enable","Goal Achievement Matrix - Mandatory","Goal Achievement Matrix - Editable","Goal Achievement Matrix - Need Approval","Goal Achievement Mapping - Enable","Goal Achievement Mapping - Mandatory","Goal Achievement Mapping - Editable","Goal Achievement Mapping - Need Approval","Goal Score Formula - Enable","Goal Score Formula - Mandatory","Goal Score Formula - Editable","Goal Score Formula - Need Approval","Goal Custom Field 1","Goal Custom Field 1 - Enable","Goal Custom Field 1 - Mandatory","Goal Custom Field 1 - Editable","Goal Custom Field 1 - Need Approval","Goal Custom Field 2","Goal Custom Field 2 - Enable","Goal Custom Field 2 - Mandatory","Goal Custom Field 2 - Editable","Goal Custom Field 2 - Need Approval","Goal Custom Field 3","Goal Custom Field 3 - Enable","Goal Custom Field 3 - Mandatory","Goal Custom Field 3 - Editable","Goal Custom Field 3 - Need Approval","Goal Custom Field 4","Goal Custom Field 4 - Enable","Goal Custom Field 4 - Mandatory","Goal Custom Field 4 - Editable","Goal Custom Field 4 - Need Approval","Goal Custom Field 5","Goal Custom Field 5 - Enable","Goal Custom Field 5 - Mandatory","Goal Custom Field 5 - Editable","Goal Custom Field 5 - Need Approval","Goal Custom Field 6","Goal Custom Field 6 - Enable","Goal Custom Field 6 - Mandatory","Goal Custom Field 6 - Editable","Goal Custom Field 6 - Need Approval","Goal Auto-calculate Achievement Percentage","Enable Goal count limits","Minimum required goals","Maximum required goals","Enable Goal weightage limits","Goal - Minimum required weightage","Goal - Maximum required weightage","Achievement Mapping Scale","Default Achievement Mapping","Sub Goal Name - Enable","Sub Goal Name - Mandatory","Sub Goal Name - Editable","Sub Goal Name - Need Approval","Sub Goal Achievement Percentage - Enable","Sub Goal Achievement Percentage - Mandatory","Sub Goal Achievement Percentage - Editable","Sub Goal Achievement Percentage - Need Approval","Sub Goal Description - Enable","Sub Goal Description - Mandatory","Sub Goal Description - Editable","Sub Goal Description - Need Approval","Sub Goal Timelines - Enable","Sub Goal Timelines - Mandatory","Sub Goal Timelines - Editable","Sub Goal Timelines - Need Approval","Sub Goal Status - Enable","Sub Goal Status - Mandatory","Sub Goal Status - Editable","Sub Goal Status - Need Approval","Sub Goal Weightage - Enable","Sub Goal Weightage - Mandatory","Sub Goal Weightage - Editable","Sub Goal Weightage - Need Approval","Sub Goal Target - Enable","Sub Goal Target - Mandatory","Sub Goal Target - Editable","Sub Goal Target - Need Approval","Sub Goal Target Type - Enable","Sub Goal Target Type - Mandatory","Sub Goal Target Type - Editable","Sub Goal Target Type - Need Approval","Sub Goal Metric - Enable","Sub Goal Metric - Mandatory","Sub Goal Metric - Editable","Sub Goal Metric - Need Approval","Sub Goal Achieved - Enable","Sub Goal Achieved - Mandatory","Sub Goal Achieved - Editable","Sub Goal Achieved - Need Approval","Sub Goal Visibility - Enable","Sub Goal Visibility - Editable","Sub Goal Visibility - Need Approval","Sub Goal Score - Enable","Sub Goal Score Formula - Enable","Sub Goal Score Formula - Mandatory","Sub Goal Score Formula - Editable","Sub Goal Score Formula - Need Approval","Sub Goal Custom Field 1","Sub Goal Custom Field 1 - Enable","Sub Goal Custom Field 1 - Mandatory","Sub Goal Custom Field 1 - Editable","Sub Goal Custom Field 1 - Need Approval","Sub Goal Custom Field 2","Sub Goal Custom Field 2 - Enable","Sub Goal Custom Field 2 - Mandatory","Sub Goal Custom Field 2 - Editable","Sub Goal Custom Field 2 - Need Approval","Sub Goal Custom Field 3","Sub Goal Custom Field 3 - Enable","Sub Goal Custom Field 3 - Mandatory","Sub Goal Custom Field 3 - Editable","Sub Goal Custom Field 3 - Need Approval","Sub Goal Custom Field 4","Sub Goal Custom Field 4 - Enable","Sub Goal Custom Field 4 - Mandatory","Sub Goal Custom Field 4 - Editable","Sub Goal Custom Field 4 - Need Approval","Sub Goal Custom Field 5","Sub Goal Custom Field 5 - Enable","Sub Goal Custom Field 5 - Mandatory","Sub Goal Custom Field 5 - Editable","Sub Goal Custom Field 5 - Need Approval","Sub Goal Custom Field 6","Sub Goal Custom Field 6 - Enable","Sub Goal Custom Field 6 - Mandatory","Sub Goal Custom Field 6 - Editable","Sub Goal Custom Field 6 - Need Approval","Activity Object - Enable","Activity Object - Editable","Activity Object - Mandatory","Enable Sub Goal count limits","Minimum required Sub Goals","Maximum required Sub Goals","Enable Sub Goal weightage limits","Sub Goal - Minimum required weightage","Sub Goal - Maximum required weightage","Enable limits on count of Activities","Limits on count of Activities - Minimum","Limits on count of Activities - Maximum","Auto-complete Subgoals on Activity completion","Goal Plan Approver","Goal Plan Reviewer","Allow Employees to add goals","Allow Employees to edit goals","Allow approver to add and edit goals","Allow employee and approver to delete goals","Allow employees and approver to add goals from previous goal plans","Allow employees and approver to edit system assigned individual goals","Allow edits to system assigned individual goals - persona","Enable Check in","Check in - personas involved- Admin Checkin","Check in - personas involved- Employee Self Checkin","Enable Comments on Check in","Check in - Goal Comments","Check in - Goal Comments - Mandatory","Check in - Sub Goal Comments","Check in - Sub Goal comments mandatory","Check in - Overall Comments","Check in - Overall Comments - Mandatory","Enable Notes and Conversations","Enable tracking 1:1 conversation with dates","Make Target Numeric","Select Metric Options","Scorecard Pillar Options","Goal Tags Options","Enable Cascade","Enable Cascade- Scope","Cascade - Allow employee to reject cascaded goals","Score Validations - Enable","Score Validations - Cap Achievement% for score","Default Goal Score Formula","Default Sub Goal score formula","Enable Sendback","Enable Sendback - Comments mandatory","Show Team and Organization goals","Show competency on goal plan page","Show competency on goal plan - Show weightage","AI based Goal Generation Input Parameters","Created On","Updated On","Started On","Archived On"
JAN_23-24,OKR,Yes,"January 2023-24",," 01-01-2023"," 31-12-2023","January Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:03:05"," 01-03-2024 17:26:15",," 01-03-2024 17:26:15"
FEB_23-24,OKR,Yes,"February 2023-24",," 01-02-2023"," 31-01-2024","February Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:12:11"," 21-05-2024 12:54:25",," 21-05-2024 12:54:25"
MAR_23-24,OKR,Yes,"March 2023-24",," 01-03-2023"," 29-02-2024","March Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:17:17"," 23-05-2024 12:15:32",," 23-05-2024 12:15:32"
APR_23-24,OKR,Yes,"April 2023-24",," 01-04-2023"," 31-03-2024","April Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:28:16"," 05-03-2025 19:58:59",," 09-08-2024 13:12:36"
MAY_23-24,OKR,Yes,"May 2023-24",," 01-05-2023"," 30-04-2024","May Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:37:30"," 09-08-2024 13:13:54",," 09-08-2024 13:13:54"
JUNE_23-24,OKR,Yes,"June 2023-24",," 01-06-2023"," 31-05-2024","June Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:40:02"," 09-08-2024 13:15:15",," 09-08-2024 13:15:15"
JULY_23-24,OKR,Yes,"July 2023-24",," 01-07-2023"," 30-06-2024","July Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:43:07"," 03-12-2024 11:12:16",," 03-12-2024 11:12:16"
AUG_23-24,OKR,Yes,"August 2023-24",," 01-08-2023"," 31-07-2024","August Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:46:17"," 05-03-2025 20:04:59",," 05-03-2025 20:04:59"
SEP_23-24,OKR,Yes,"September 2023-24",," 01-09-2023"," 31-08-2024","September Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:50:42"," 05-03-2025 20:05:46",," 05-03-2025 20:05:46"
OCT_23-24,OKR,Yes,"October 2023-24",," 01-10-2023"," 30-09-2024","October Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:53:14"," 05-03-2025 20:05:51",," 05-03-2025 20:05:51"
NOV_23-24,OKR,Yes,"November 2023-24",," 01-11-2023"," 31-10-2024","November Appraisal",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,a6539fc2a76467,Yes,Yes,Yes,Yes,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,Yes,2,,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Yes,,6,No,,,No,,,0,Manager,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,"Project Based Goals|Development Based Goals",,No,,,No,,,,No,,No,No,,"Department | Industry | Designation"," 23-11-2023 11:55:25"," 05-03-2025 20:05:37",," 05-03-2025 20:05:37"
