"Type","Object Type","Default Value","Language","Translation","Status"
"attribute","PMS_Goal Plan Name","January 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","February 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","March 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","April 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","May 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","June 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","July 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","August 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","September 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","October 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","November 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","December 2023-24","","","Active"
"attribute","PMS_Goal Plan Name","January 2024-25","","","Active"
"attribute","PMS_Goal Plan Name","February 2024-25","","","Active"
"attribute","PMS_Goal Plan Name","March 2024-25","","","Active"
"attribute","PMS_Goal Plan Name","April 2024-25","","","Archived"
"attribute","PMS_Goal Plan Name","April 2024-25","","","Active"
"attribute","PMS_Goal Plan Name","May 2024-25","","","Active"
"attribute","PMS_Goal Plan Name","June 2024-25","","","Active"
"attribute","PMS_Goal Plan Name","Aug 2024-25","","","Active"
"attribute","PMS_Goal Plan Name","December 2024-25","","","Active"
"attribute","PMS_Goal Plan Name","January 2025","","","Active"
"attribute","PMS_Goal Plan Name","July 2024-25","","","Active"
"attribute","PMS_Goal Plan Name","September 24-25","","","Active"
"attribute","PMS_Goal Plan Name","Oct 24-25","","","Active"
"attribute","PMS_Goal Plan Name","November 24-25","","","Active"
"attribute","PMS_Goal Plan Name","February-2025-26","","","Active"
"attribute","PMS_Goal Plan Name","March-2025-26","","","Active"
"attribute","PMS_Goal Plan Name","April-2025-26","","","Active"
"attribute","PMS_Goal Plan Name","May 2025-26","","","Active"
"attribute","PMS_Goal Plan Name","June 2025-26","","","Active"
"attribute","PMS_Goal Plan Name","July 2025-26","","","Active"
"attribute","PMS_Goal Plan Name","August 2025-26","","","Active"
"attribute","PMS_Goal Plan Name","September-2025-26","","","Active"
"attribute","PMS_Goal Plan Name","October 2025_26","","","Active"
"attribute","PMS_Goal Plan Name","November-2025-26","","","Active"
"attribute","PMS_Goal Plan Name","December-2025-26","","","Active"
"attribute","PMS_Goal Plan Name","January 2026","","","Active"
"attribute","PMS_Goal Plan Name","February 2026 -27","","","Active"
"attribute","PMS_Goal Plan Name","March 2026 -27","","","Active"
"attribute","PMS_Goal Plan Name","Aug 25-26","","","Active"
