"Type","Object Type","Default Value","Language","Translation","Status"
"attribute","PMS_ Review Cycle KRA Name","January 2023","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","February 23-24","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","March 23-24","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","April Appraisal","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","May 23-24","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","June 23-24","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","July 23-24","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","August 23-24","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","September 23-24","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","October 23-24","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","November 23-24","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","December 23-24","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","January 2025","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","February 2025","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","March 2025-26","","","Active"
"attribute","PMS_ Review Cycle KRA Name","April 2025-26","","","Active"
"attribute","PMS_ Review Cycle KRA Name","May 2025=26","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","June 2025","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","July 2025","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","August 2025","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","September 2025","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","October 2025","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","November 2025","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","December 2025","","","Archived"
"attribute","PMS_ Review Cycle KRA Name","January 2026","","","Active"
"attribute","PMS_ Review Cycle KRA Name","February 2026","","","Active"
