"Review Cycle Name","Review Cycle ID","Review Cycle Description","Review Cycle Start Date","Review Cycle End Date","User Assignment",Status,"Created on","Updated on","Archived On"
"January 2023",JAN_23,,01-01-2023,31-01-2024,"January Appraisal",Archived," 23-11-2023 12:06:11"," 06-01-2025 11:21:17"," 06-01-2025 11:21:17"
"February 23-24",FEB23-24,,01-02-2023,29-02-2024,"February Appraisal",Archived," 12-12-2023 16:08:31"," 03-02-2025 21:59:50"," 03-02-2025 21:59:50"
"March 23-24",MAR_23-24,,01-03-2023,31-03-2024,"March Appraisal",Archived," 12-12-2023 16:09:20"," 15-02-2025 11:33:46"," 15-02-2025 11:33:46"
"April Appraisal",APR_23-24,,01-04-2023,30-04-2024,"April Appraisal",Archived," 12-12-2023 16:15:24"," 15-02-2025 11:33:57"," 15-02-2025 11:33:57"
"May 23-24",MAY_23-24,,01-05-2023,31-05-2024,"May Appraisal",Archived," 12-12-2023 16:16:01"," 15-02-2025 11:34:04"," 15-02-2025 11:34:04"
"June 23-24",JUNE_23-24,,01-06-2023,30-06-2024,"June Appraisal",Archived," 12-12-2023 16:16:34"," 15-02-2025 11:34:10"," 15-02-2025 11:34:10"
"July 23-24",JULY_23-24,,01-07-2023,31-07-2024,"July Appraisal",Archived," 12-12-2023 16:17:05"," 15-02-2025 11:41:24"," 15-02-2025 11:41:24"
"August 23-24",AUG_23-24,,01-08-2023,31-08-2024,"August Appraisal",Archived," 12-12-2023 16:17:38"," 15-02-2025 11:41:30"," 15-02-2025 11:41:30"
"September 23-24",SEPT_23-24,,01-09-2023,30-09-2024,"September Appraisal",Archived," 12-12-2023 16:18:39"," 05-03-2025 19:27:00"," 05-03-2025 19:27:00"
"October 23-24",OCT_23-24,,01-10-2023,31-10-2024,"October Appraisal",Archived," 12-12-2023 16:19:26"," 05-03-2025 19:27:11"," 05-03-2025 19:27:11"
"November 23-24",NOV_23-24,,01-11-2023,30-11-2024,"November Appraisal",Archived," 12-12-2023 16:20:01"," 05-03-2025 19:26:52"," 05-03-2025 19:26:52"
"December 23-24",DEC_23-24,,01-12-2023,31-12-2024,"December Appraisal",Archived," 12-12-2023 16:20:26"," 17-03-2025 22:45:01"," 17-03-2025 22:45:01"
"January 2025",Jan-2025,,01-01-2025,31-12-2025,"January Appraisal",Archived," 06-01-2025 11:22:23"," 24-12-2025 18:37:13"," 24-12-2025 18:37:13"
"February 2025",Feb-2025,,01-02-2025,31-01-2026,"February Appraisal",Archived," 03-02-2025 22:00:00"," 24-12-2025 18:37:48"," 24-12-2025 18:37:48"
"March 2025-26",March-2025-26,,01-03-2025,28-02-2026,"March Appraisal",Active," 15-02-2025 11:38:39"," 15-02-2025 11:40:10",
"April 2025-26",April-2025-26,,01-04-2025,31-03-2026,"April Appraisal",Active," 15-02-2025 11:39:36",,
"May 2025=26",May-2025-26,,01-05-2025,30-04-2026,"May Appraisal",Archived," 15-02-2025 11:41:03"," 07-04-2026 15:17:48"," 07-04-2026 15:17:48"
"June 2025",June-2025,,26-05-2025,25-06-2025,"June Appraisal",Archived," 01-06-2025 22:46:06"," 07-04-2026 15:18:01"," 07-04-2026 15:18:01"
"July 2025",July-2025,,26-06-2025,25-07-2025,"July Appraisal",Archived," 01-06-2025 22:47:03"," 07-04-2026 15:18:10"," 07-04-2026 15:18:10"
"August 2025",Aug-2025,,26-07-2025,25-08-2025,"August Appraisal",Archived," 06-08-2025 10:47:05"," 07-04-2026 15:18:18"," 07-04-2026 15:18:18"
"September 2025",Sep--2025,,26-08-2025,25-09-2025,"September Appraisal",Archived," 19-08-2025 12:54:12"," 07-04-2026 15:18:23"," 07-04-2026 15:18:23"
"October 2025",Oct-2025,,26-09-2025,25-10-2025,"October Appraisal",Archived," 16-09-2025 19:24:59"," 07-04-2026 15:18:32"," 07-04-2026 15:18:32"
"November 2025",Nov-2025,,01-11-2025,30-11-2025,"November Appraisal",Archived," 04-11-2025 15:22:06"," 07-04-2026 15:18:37"," 07-04-2026 15:18:37"
"December 2025",Dec--2025,,26-11-2025,25-12-2025,"December Appraisal",Archived," 29-11-2025 19:57:26"," 07-04-2026 15:18:42"," 07-04-2026 15:18:42"
"January 2026",Jan-2026,,26-12-2025,25-01-2026,"January Appraisal",Active," 24-12-2025 18:37:39",,
"February 2026",Feb-2026,,26-01-2025,25-02-2026,"February Appraisal",Active," 04-02-2026 13:53:15",,
