"Type","Object Type","Default Value","Language","Translation","Status"
"attribute","PMS_ Review KRA Name","January 23-24","","","Active"
"attribute","PMS_ Review KRA Name","February 23-24","","","Active"
"attribute","PMS_ Review KRA Name","March 23-24","","","Active"
"attribute","PMS_ Review KRA Name","April 23-24","","","Active"
"attribute","PMS_ Review KRA Name","May 23-24","","","Active"
"attribute","PMS_ Review KRA Name","June 23-24","","","Active"
"attribute","PMS_ Review KRA Name","July 23-24","","","Active"
"attribute","PMS_ Review KRA Name","August 23-24","","","Active"
"attribute","PMS_ Review KRA Name","September 23-24","","","Active"
"attribute","PMS_ Review KRA Name","October 23-24","","","Active"
"attribute","PMS_ Review KRA Name","November 23-24","","","Active"
"attribute","PMS_ Review KRA Name","December 23-24","","","Active"
"attribute","PMS_ Review KRA Name","January 2025","","","Active"
"attribute","PMS_ Review KRA Name","February 2025_January 2026","","","Active"
"attribute","PMS_ Review KRA Name","March 2025_Feb-26","","","Active"
"attribute","PMS_ Review KRA Name","April 2025","","","Active"
"attribute","PMS_ Review KRA Name","May 2025","","","Active"
"attribute","PMS_ Review KRA Name","June 25- May 26","","","Active"
"attribute","PMS_ Review KRA Name","July 2025","","","Active"
"attribute","PMS_ Review KRA Name","August 2025","","","Active"
"attribute","PMS_ Review KRA Name","September 2025","","","Active"
"attribute","PMS_ Review KRA Name","October 2025","","","Active"
"attribute","PMS_ Review KRA Name","November 2025","","","Active"
"attribute","PMS_ Review KRA Name","December-2025","","","Active"
"attribute","PMS_ Review KRA Name","January 2026","","","Active"
"attribute","PMS_ Review KRA Name","February 2026","","","Active"
"attribute","PMS_ Review KRA Name","March 2026","","","Active"
"attribute","PMS_ Review KRA Name","April 2026","","","Active"
