"Review ID","Review Name","Review Description","Align to Review Cycle","Enable Exclude Employees from Review","Exclusion Setting","Is Final Review","Enable Cycle specific alias","Cycle specific alias - Competency","Cycle specific alias - Calibration","Cycle specific alias - Self Review","Cycle specific alias - Evaluator 1","Cycle specific alias - Evaluator 2","Cycle specific alias - Reviewer","Cycle specific alias - Employee Acknowledgement","Cycle specific alias - Forms","Cycle specific alias - Suggested Rating","Cycle specific alias - Calculated Marks","Goal - Enable parameter","Goal - Rating Scale","Goal - Enable Auto calculation","Goal - Auto calculation method","Goal - Normalization setting","Goal - Suggest Ratings","Goal - Use Overall Score","Overall Performance - Rating Scale","Overall Performance - Enable Auto calculation","Overall Performance - Auto calculation method","Overall Performance - Normalization setting","Overall Performance - Suggested rating","Goal Weightage & Competency  Weightage","Competency - Enable parameter","Competency - Enable auto calculation","Competency - Auto calculation method","Competency - Normalization setting","Competency - Suggest Rating","Competency - Use Expected Proficiency","Competency - Achievement mapping","Promotion - Enable Parameter","Promotion - Framework","Potential Placement - Enable","Performance Placement - Enable","N Grid - Enable","Use Proficiency Indicator to rate on Competency","Show Normalization rating without scale","Show stars on rating scale","Enable dropdown on rating scale","Show competency weightage to appraisee- Enable","Show competency weightage to all- Enable","Self - Enable","Evaluator 1 - Enable","Evaluator 1 - Role","Evaluator 2 - Enable","Evaluator 2 - Role","Reviewer - Enable","Reviewer - Role","Calibration - Enable","Calibration - Process","Employee Acknowledgement - Enable","Employee Acknowledgement - Form","Employee Acknowledgement - Mandatory","Enable CF","Enable Stage skip","Allow send back to Employee","Allow send back to evaluators","Enable Additional Reviewers","Allow L1 Manager to update comments post calibration","Allow L1 Manager to update ratings post calibration","Appraisee - Goals Rating","Appraisee - Goals Rating Mandatory","Appraisee - Goals Comments","Appraisee - Goals Comments Mandatory","Appraisee - Goals Overall Ratings","Appriasee - Goals Overall Ratings Mandatory","Appraisee - Goals Overall Comments","Appraisee - Goals Overall Comments Mandatory","Appraisee - Competencies Rating","Appraisee - Competencies Rating Mandatory","Appraisee - Competencies Comments","Appraisee - Competencies Comments Mandatory","Appraisee - Competencies Overall Rating","Appraisee - Competencies Overall Rating Mandatory","Appraisee - Competencies Overall Comments","Appraisee - Competencies Overall Comments Mandatory","Appraisee - Overall Review Ratings","Appraisee - Overall Review Ratings Mandatory","Appraisee - Overall Review Comments","Appraisee - Overall Review Comments Mandatory","Appraisee - Custom Form","Evaluator 2 - Goals Rating","Evaluator 2 - Goals Rating Mandatory","Evaluator 2 - Goals Comments","Evaluator 2 - Goals Comments Mandatory","Evaluator 2 - Goals Overall Ratings","Evaluator 2 - Goals Overall Ratings Mandatory","Evaluator 2 - Goals Overall Comments","Evaluator 2 - Goals Overall Comments Mandatory","Evaluator 2 - Competencies Rating","Evaluator 2 - Competencies Rating Mandatory","Evaluator 2 - Competencies Comments","Evaluator 2 - Competencies Comments Mandatory","Evaluator 2 - Competencies Overall Rating","Evaluator 2 - Competencies Overall Rating Mandatory","Evaluator 2 - Competencies Overall Comments","Evaluator 2 - Competencies Overall Comments Mandatory","Evaluator 2 - Overall Review Ratings","Evaluator 2 - Overall Review Ratings Mandatory","Evaluator 2 - Overall Review Comments","Evaluator 2 - Overall Review Comments Mandatory","Evaluator 2 - Custom Form","Evaluator 1 - Goals Rating","Evaluator 1 - Goals Rating Mandatory","Evaluator 1 - Goals Comments","Evaluator 1 - Goals Comments Mandatory","Evaluator 1 - Goals Overall Ratings","Evaluator 1 - Goals Overall Ratings Mandatory","Evaluator 1 - Goals Overall Comments","Evaluator 1 - Goals Overall Comments Mandatory","Evaluator 1 - Competencies Rating","Evaluator 1 - Competencies Rating Mandatory","Evaluator 1 - Competencies Comments","Evaluator 1 - Competencies Comments Mandatory","Evaluator 1 - Competencies Overall Rating","Evaluator 1 - Competencies Overall Rating Mandatory","Evaluator 1 - Competencies Overall Comments","Evaluator 1 - Competencies Overall Comments Mandatory","Evaluator 1 - Overall Review Ratings","Evaluator 1 - Overall Review Ratings Mandatory","Evaluator 1 - Overall Review Comments","Evaluator 1 - Overall Review Comments Mandatory","Evaluator 1 - Custom Form","Disable Attachments","Self - Can view ratings of","Self - Can view comments of","Self - Can view forms of","Evaluator 1 - Can view ratings of","Evaluator 1 - Can view comments of","Evaluator 1 - Can view forms of","Evaluator 2 - Can view ratings of","Evaluator 2 - Can view comments of","Evaluator 2 - Can view forms of","Reviewer - Can view ratings of","Reviewer - Can view comments of","Reviewer - Can view forms of","Self- Show Previous Review ratings and comments, Employee Data","Self- Show Previous Review ratings and comments, Employee & Appraiser’s Data","Evaluator 1- Show Previous Review ratings and comments, Employee Data","Evaluator 1- Show Previous Review ratings and comments, Employee & Appraiser’s Data","Evaluator 2- Show Previous Review ratings and comments, Employee Data","Evaluator 2- Show Previous Review ratings and comments, Employee & Appraiser’s Data","Reviewer- Show Previous Review ratings and comments, Employee Data","Reviewer- Show Previous Review ratings and comments, Employee & Appraiser’s Data","Show MSF report","Hide self rating until stage review completion","Hide self comments until stage review completion","Hide next stage ratings and comments until review is completed, published to manager or employee","Hide next stage forms until review is completed, published to manager or employee",Status,"Updated On","Started On","Archived On"
JAN_23-24,"January 23-24",,"January 2023",Yes,"New Joinees Exclusions ",No,No,,,,,,,,,,,Yes,"PMS Rating Scale",Yes,Decimal,,No,No,"PMS Rating Scale",No,,,,,No,,,,,,,Yes,"Promotion Framework",No,No,No,,No,No,No,No,No,Yes,Yes,"Employee Dotted Line Manager",Yes,Manager,No,,Yes,Calibration,Yes,"Employee Acknowlegment Form",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 2.0",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,,No,"Evaluator 1|Evaluator 2|Additional Reviewer|Final Ratings","Evaluator 1|Evaluator 2|Additional Reviewer","Evaluator 1|Evaluator 2","Self|Evaluator 2|Final Ratings","Self|Evaluator 2","Self|Evaluator 2","Self|Evaluator 1|Additional Reviewer|Final Ratings","Self|Evaluator 1|Additional Reviewer","Self|Evaluator 1",,,,Yes,No,Yes,No,Yes,No,Yes,No,,,,"Evaluator 1|Evaluator 2","Evaluator 1|Evaluator 2",Archived," 03-01-2025 12:04:26"," 24-01-2024 14:30:25"," 03-01-2025 12:04:26"
FEB-23-24,"February 23-24",,"February 23-24",Yes,"New Joinees Exclusions ",No,No,,,,,,,,,,,Yes,"PMS Rating Scale",Yes,Decimal,,No,No,"PMS Rating Scale",No,,,,,No,,,,,,,Yes,"Promotion Framework",No,No,No,,No,No,No,No,No,Yes,Yes,"Employee Dotted Line Manager",Yes,Manager,No,,Yes,Calibration,Yes,"Employee Acknowlegment Form",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 2.0",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,,No,"Evaluator 1|Evaluator 2|Additional Reviewer|Final Ratings","Evaluator 1|Evaluator 2|Additional Reviewer","Evaluator 1|Evaluator 2","Self|Evaluator 2|Final Ratings","Self|Evaluator 2","Self|Evaluator 2","Self|Evaluator 1|Additional Reviewer|Final Ratings","Self|Evaluator 1|Additional Reviewer","Self|Evaluator 1",,,,Yes,No,Yes,No,Yes,No,Yes,No,,,,"Evaluator 1|Evaluator 2","Evaluator 1|Evaluator 2",Archived," 06-01-2025 17:35:57"," 05-02-2024 16:02:07"," 06-01-2025 17:35:57"
MAR_23-24,"March 23-24",,"March 23-24",Yes,"New Joinees Exclusions ",No,No,,,,,,,,,,,Yes,"PMS Rating Scale - New",Yes,Decimal,,No,No,"PMS Rating Scale - New",No,,,,,No,,,,,,,Yes,"Promotion Framework",No,No,No,,No,No,No,No,No,Yes,Yes,"Employee Dotted Line Manager",Yes,Manager,No,,Yes,Calibration,Yes,"Employee Acknowlegment Form",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 3.0",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 3.0",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,,No,"Evaluator 1|Evaluator 2|Additional Reviewer|Final Ratings","Evaluator 1|Evaluator 2|Additional Reviewer","Evaluator 1|Evaluator 2","Self|Evaluator 2|Final Ratings","Self|Evaluator 2","Self|Evaluator 2","Self|Evaluator 1|Additional Reviewer|Final Ratings","Self|Evaluator 1|Additional Reviewer","Self|Evaluator 1",,,,Yes,No,Yes,No,Yes,No,Yes,No,,,,"Evaluator 1|Evaluator 2","Evaluator 1|Evaluator 2",Archived," 03-12-2024 11:28:48"," 03-03-2024 23:40:41"," 03-12-2024 11:28:48"
APR_23-24,"April 23-24",,"April Appraisal",Yes,"New Joinees Exclusions ",No,No,,,,,,,,,,,Yes,"PMS Rating Scale - New",Yes,Decimal,,No,No,"PMS Rating Scale - New",No,,,,,No,,,,,,,Yes,"Promotion Framework",No,No,No,,No,No,No,No,No,Yes,Yes,"Employee Dotted Line Manager",Yes,Manager,No,,Yes,Calibration,Yes,"Employee Acknowlegment Form",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 3.0",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.0",Yes,No,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.0",No,"Evaluator 1|Evaluator 2|Additional Reviewer|Final Ratings","Evaluator 1|Evaluator 2|Additional Reviewer","Evaluator 1|Evaluator 2","Self|Evaluator 2|Final Ratings","Self|Evaluator 2","Self|Evaluator 2","Self|Evaluator 1|Additional Reviewer|Final Ratings","Self|Evaluator 1|Additional Reviewer","Self|Evaluator 1",,,,Yes,No,Yes,No,Yes,No,Yes,No,,,,"Evaluator 1|Evaluator 2","Evaluator 1|Evaluator 2",Archived," 03-02-2025 11:32:46"," 10-04-2024 17:29:54"," 03-02-2025 11:32:46"
MAY_23-24,"May 23-24",,"May 23-24",Yes,"New Joinees Exclusions ",No,No,,,,,,,,,,,Yes,"PMS Rating Scale - New",Yes,Decimal,,No,No,"PMS Rating Scale - New",No,,,,,No,,,,,,,Yes,"Promotion Framework",No,No,No,,No,No,No,No,No,Yes,Yes,"Employee Dotted Line Manager",Yes,Manager,No,,Yes,"Calibration New",Yes,"Employee Acknowlegment Form",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 3.1",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.2",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.2",No,"Evaluator 1|Evaluator 2|Additional Reviewer|Final Ratings","Evaluator 1|Evaluator 2|Additional Reviewer","Evaluator 1|Evaluator 2","Self|Evaluator 2|Final Ratings","Self|Evaluator 2","Self|Evaluator 2","Self|Evaluator 1|Additional Reviewer|Final Ratings","Self|Evaluator 1|Additional Reviewer","Self|Evaluator 1",,,,Yes,No,Yes,No,Yes,No,Yes,No,,,,"Evaluator 1|Evaluator 2","Evaluator 1|Evaluator 2",Archived," 03-02-2025 11:32:53"," 30-04-2024 16:51:07"," 03-02-2025 11:32:53"
JUNE_23-24,"June 23-24",,"June 23-24",Yes,"New Joinees Exclusions ",No,No,,,,,,,,,,,Yes,"PMS Rating Scale - New",Yes,Decimal,,No,No,"PMS Rating Scale - New",No,,,,,No,,,,,,,Yes,"Promotion Framework",No,No,No,,No,No,No,No,No,Yes,Yes,"Employee Dotted Line Manager",Yes,Manager,No,,Yes,Calibration,Yes,"Employee Acknowlegment Form",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 3.1",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.2",Yes,No,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.2",No,"Evaluator 1|Evaluator 2|Additional Reviewer|Final Ratings","Evaluator 1|Evaluator 2|Additional Reviewer","Evaluator 1|Evaluator 2","Self|Evaluator 2|Final Ratings","Self|Evaluator 2","Self|Evaluator 2","Self|Evaluator 1|Additional Reviewer|Final Ratings","Self|Evaluator 1|Additional Reviewer","Self|Evaluator 1",,,,Yes,No,Yes,No,Yes,No,Yes,No,,,,"Evaluator 1|Evaluator 2","Evaluator 1|Evaluator 2",Archived," 03-02-2025 11:32:58"," 04-06-2024 15:28:16"," 03-02-2025 11:32:58"
JULY_23-24,"July 23-24",,"July 23-24",Yes,"New Joinees Exclusions ",No,No,,,,,,,,,,,Yes,"PMS Rating Scale - New",Yes,Decimal,,No,No,"PMS Rating Scale - New",No,,,,,No,,,,,,,Yes,"Promotion Framework",No,No,No,,No,No,No,No,No,Yes,Yes,"Employee Dotted Line Manager",Yes,Manager,No,,Yes,"Calibration New",Yes,"Employee Acknowlegment Form",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 3.1",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.2",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.2",No,"Evaluator 1|Evaluator 2|Additional Reviewer|Final Ratings","Evaluator 1|Evaluator 2|Additional Reviewer","Evaluator 1|Evaluator 2","Self|Evaluator 2|Final Ratings","Self|Evaluator 2","Self|Evaluator 2","Self|Evaluator 1|Additional Reviewer|Final Ratings","Self|Evaluator 1|Additional Reviewer","Self|Evaluator 1",,,,Yes,No,Yes,No,Yes,No,Yes,No,,,,"Evaluator 1|Evaluator 2","Evaluator 1|Evaluator 2",Archived," 03-02-2025 23:07:49"," 28-06-2024 17:12:48"," 03-02-2025 23:07:49"
AUG_23-24,"August 23-24",,"August 23-24",Yes,"New Joinees Exclusions ",No,No,,,,,,,,,,,Yes,"PMS Rating Scale - New",Yes,Decimal,,No,No,"PMS Rating Scale - New",No,,,,,No,,,,,,,Yes,"Promotion Framework",No,No,No,,No,No,No,No,No,Yes,Yes,"Employee Dotted Line Manager",Yes,Manager,No,,Yes,"Calibration New",Yes,"Employee Acknowlegment Form",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 3.3",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.3",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.3",No,"Evaluator 1|Evaluator 2|Additional Reviewer|Final Ratings","Evaluator 1|Evaluator 2|Additional Reviewer","Evaluator 1|Evaluator 2","Self|Evaluator 2|Final Ratings","Self|Evaluator 2","Self|Evaluator 2","Self|Evaluator 1|Additional Reviewer|Final Ratings","Self|Evaluator 1|Additional Reviewer","Self|Evaluator 1",,,,Yes,No,Yes,No,Yes,No,Yes,No,,,,"Evaluator 1|Evaluator 2","Evaluator 1|Evaluator 2",Archived," 03-02-2025 23:08:13"," 05-08-2024 08:25:52"," 03-02-2025 23:08:13"
SEP_23-24,"September 23-24",,"September 23-24",Yes,"New Joinees Exclusions ",No,No,,,,,,,,,,,Yes,"PMS Rating Scale - New",Yes,Decimal,,No,No,"PMS Rating Scale - New",No,,,,,No,,,,,,,Yes,"Promotion Framework",No,No,No,,No,No,No,No,No,Yes,Yes,"Employee Dotted Line Manager",Yes,Manager,No,,Yes,"Calibration New",Yes,"Employee Acknowlegment Form",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 3.3",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.3",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.3",No,"Evaluator 1|Evaluator 2|Additional Reviewer|Final Ratings","Evaluator 1|Evaluator 2|Additional Reviewer","Evaluator 1|Evaluator 2","Self|Evaluator 2|Final Ratings","Self|Evaluator 2","Self|Evaluator 2","Self|Evaluator 1|Additional Reviewer|Final Ratings","Self|Evaluator 1|Additional Reviewer","Self|Evaluator 1",,,,Yes,No,Yes,No,Yes,No,Yes,No,,,,"Evaluator 1|Evaluator 2","Evaluator 1|Evaluator 2",Archived," 05-03-2025 19:25:59"," 02-09-2024 09:34:35"," 05-03-2025 19:25:59"
OCT_23-24,"October 23-24",,"October 23-24",Yes,"New Joinees Exclusions ",No,No,,,,,,,,,,,Yes,"PMS Rating Scale - New",Yes,Decimal,,No,No,"PMS Rating Scale - New",No,,,,,No,,,,,,,Yes,"Promotion Framework",No,No,No,,No,No,No,No,No,Yes,Yes,"Employee Dotted Line Manager",Yes,Manager,No,,Yes,"Calibration New",Yes,"Employee Acknowlegment Form",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Employee 3.3",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.3",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,No,,"PMS Review Form Manager 3.3",No,"Evaluator 1|Evaluator 2|Additional Reviewer|Final Ratings","Evaluator 1|Evaluator 2|Additional Reviewer","Evaluator 1|Evaluator 2","Self|Evaluator 2|Final Ratings","Self|Evaluator 2","Self|Evaluator 2","Self|Evaluator 1|Additional Reviewer|Final Ratings","Self|Evaluator 1|Additional Reviewer","Self|Evaluator 1",,,,Yes,No,Yes,No,Yes,No,Yes,No,,,,"Evaluator 1|Evaluator 2","Evaluator 1|Evaluator 2",Archived," 03-02-2025 23:09:34"," 03-10-2024 15:16:27"," 03-02-2025 23:09:34"
