"Policy Code","Policy Name","Standard Permission Type","Standard Permission Type Code","Assignee Context Name","Assignee Context Code",Module,"Sub Module",Action,"Permission Name","Permission Code","Status (Enabled/Disabled)","Policy Status"
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Employee Data management",View,"View Position Details",view_position_details_standard,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Core & Employee management",View,"View profile flag",view_profile_flag_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Employee Data management",View,"Future Transactions",view_future_transactions_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Employee Data management",Edit/Action,"Future Transactions",edit_future_transactions_standard,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Employee Data management",View,"View Assigned Policies",view_assigned_policies_standard,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Employee Data management",View,"Profile History",view_profile_history_standard,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Employee Data management",Edit/Action,"Assign Replacement",assign_replacement_standard,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Employee Data management",View,"Download Profile PDF",download_profile_pdf_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Workflows,Confirmation,View,"Employee Lifecycle - Probation Confirmation",employee_lifecycle_probation_confirmation_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Workflows,Separation,View,"Employee Lifecycle Separation",employee_lifecycle_separation_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Workflows,Contract,View,"Employee Lifecycle - Contract",employee_lifecycle_contract,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Workflows,Workflows,View,"Employee Lifecycle - WorkFlow",workflow_tab,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Workflows,Separation,View,"Separation History",separation_history,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Onboarding,Onboarding,View,"Employee Lifecycle - Onboarding",view_employee_lifecycle_onboarding,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Employee Data management",View,"View Personal Details",view_personal_details_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Employee Data management",View,"View Employment Details",view_employment_details_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Core,"Employee Data management",View,"View Assigned Permissions",view_assigned_permissions_standard,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Attendance,View,"View attendance & leave data in one view",attendance_leave_oneview_view_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Attendance,View,"Overtime Credited List",attendance_view_overtime_list_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Attendance,View,"View Attendance Page",attendance_view_attendance_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Attendance,Edit/Action,"Edit attendance in One View",attendance_edit_one_view_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Attendance,Edit/Action,"Edit Shift & Weekly off in One View",edit_shift_weeklyoff_one_view_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Attendance,Edit/Action,"Edit Attendance in attendance page",attendance_edit_attendance_page_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Attendance,Edit/Action,"On behalf attendance application",attendance_apply_attendance_others_standard,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Leave,Edit/Action,"Edit Leave Balance on leave page",edit_leave_balance_on_leave_page_standard,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Leave,Edit/Action,"Apply leave in one view",leave_apply_oneview_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Leave,Edit/Action,"Pay out in comp-off history",leave_compoff_payout_history_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Leave,Edit/Action,"Raise leave request on behalf of",leave_apply_other_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Leave,View,"Comp off credited history",leave_compoff_credited_history_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Leave,View,"Leave history",leave_history_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Leave,View,"View an Employee's Leave Page",leave_view_leave_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Attendance,Import,"Roster Import",attendance_import_roster_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Attendance,Import,"Roster Calendar Import",attendance_import_roster_calendar_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",TimeSheets,Edit/Action,"Assign TimeSheet Policy",assign_time_sheet_policy_standard,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Attendance,Edit/Action,"Assign Shift, Attendance Policy and Weekly off",attendance_edit_shift_policy_weeklyoff_standard,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Travel & Expense",Travel,View,"View Trip Summary",view_summary,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Travel & Expense",Travel,View,"View Travel Requests",view_travel,Enabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,"Time Management",Leave,Edit/Action,"Edit Flexible Holiday Date",leave_edit_flexible_holiday_date_standard,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Payroll,Payroll,Edit/Action,"Edit Pay Package",edit_pay_package,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Payroll,Payroll,Edit/Action,"Edit IT/POI Declaration Access",edit_it_declaration_access,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Payroll,Payroll,Edit/Action,"Edit IT/POI Declaration",edit_it_declaration,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Payroll,Payroll,Edit/Action,"Manage Extra Payments",manage_extra_payments,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Payroll,Payroll,Edit/Action,"Manage Loan & Advances / ExtraDeductions",manage_loan_advances_extra_deductions,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Payroll,Payroll,Edit/Action,"Create Hold Salary",create_hold_salary,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Payroll,Payroll,Edit/Action,"Create Perquisite",create_perquisite,Disabled,Active
STDPERM_1,Manager,Manager,l1_manager,All,All,Payroll,Payroll,Edit/Action,"Manage Benefits",manage_benefits,Disabled,Active
