"Event type*",Reason*,"Reason Description"
"Candidate Rejection","Attitude and Culture FIt",
"Candidate Decline Offer","Better Job Offer",
"Job Archival","Candidate not required",
"Candidate On Hold","Candidate on hold",
"Candidate Rejection","Communication Skills",
"Candidate Rejection","Customer requirement went onhold",
"Candidate On Hold","Customer requirement went onhold",
"Candidate Rejection","Didnt attend the interview",
"Candidate Decline Offer","Got Retained",
"Candidate Rejection","Health issues",
"Candidate Rejection","High CTC Expectations",
"Offer Withdrawal","High Compensation Expectation",
"Candidate Rejection","Lacks Skills",
"Candidate Rejection","Less Work Experience
",
"Candidate Decline Offer","Not satisfied with CTC",
"Candidate Rejection","Notice Period",
"Candidate Decline Offer",Other,
"Job Archival","Position closed",
"Job Closure","Positions Closed",
"Candidate Rejection",Relocation,
"Candidate Decline Offer","Relocation Issues",
"Offer Withdrawal","Requisition closed",
"Offer Withdrawal","Skill Mismatch",
"Offer Withdrawal","other HR factors",
