"Code","Module Transaction","Name","Tagged Flows","Version","Created On","Update On","Status"
"AF_1","Default","PIP Approval","","1","2023-06-23","2023-11-05","Active"
"AF_2","Default","Requisition Approval","","1","2023-06-25","2023-11-05","Inactive"
"AF_3","Default","Asset Request Form","","1","2023-07-01","2023-11-05","Inactive"
"AF_4","Default","Asset Request Form","","2","2023-07-01","2023-11-05","Inactive"
"AF_5","Default","Asset Request Form","","3","2023-07-01","2023-12-14","Inactive"
"AF_6","Default","Custom Approval FLow","","1","2023-07-11","2023-11-05","Inactive"
"AF_7","Default","Custom Approval FLow","","2","2023-07-11","2023-11-05","Inactive"
"AF_8","Default","Custom Approval FLow","","3","2023-07-18","2023-11-05","Inactive"
"AF_9","Default","Below Manager","","1","2023-07-19","2023-11-05","Inactive"
"AF_10","Default","Above Manager","","1","2023-07-19","2023-12-14","Inactive"
"AF_11","Default","Below Manager","","2","2023-07-24","2023-11-05","Active"
"AF_12","Default","Requisition Approval","","2","2023-07-28","2023-11-05","Inactive"
"AF_13","Default","Requisition Approval","","3","2023-08-02","2023-11-05","Inactive"
"AF_14","Offer Letter","Offer Approval Flow","","1","2023-08-08","2023-11-05","Inactive"
"AF_15","Offer Letter","Offer Approval Flow","","2","2023-08-10","2023-11-05","Inactive"
"AF_16","Employee","Employee Type","","1","2023-08-14","2023-11-05","Active"
"AF_17","Offer Letter","Offer Approval Flow","","3","2023-08-14","2023-11-05","Inactive"
"AF_18","Employee","Offer Reroute CEO","","1","2023-08-14","2023-12-14","Inactive"
"AF_19","Employee","Offer Reroute VP","","1","2023-08-14","2023-12-14","Inactive"
"AF_20","Employee","Offer reroute","","1","2023-08-14","2024-09-11","Inactive"
"AF_21","Offer Letter","Offer Approval Flow","","4","2023-08-15","2023-12-14","Inactive"
"AF_22","Default","Custom Approval FLow","Flows (CF_8)","4","2023-08-23","2023-11-05","Active"
"AF_23","Default","Requisition Approval","","4","2023-08-25","2023-11-05","Inactive"
"AF_24","Default","Requisition Approval","","5","2023-08-29","2023-11-05","Inactive"
"AF_25","Default","Requisition Approval","","6","2023-08-29","2023-11-05","Inactive"
"AF_26","Employee","Test flow 1","","1","2023-09-05","2023-12-14","Inactive"
"AF_27","Default","Requisition Approval","","7","2023-09-11","2023-11-05","Inactive"
"AF_28","Default","Requisition Approval","","8","2023-09-12","2023-12-14","Inactive"
"AF_29","Employee","Compensation Change","","1","2023-09-20","2023-11-05","Inactive"
"AF_30","Employee","Compensation Change","","2","2023-09-21","2023-12-14","Inactive"
"AF_31","Employee","Designation Change ","","1","2023-10-19","2023-12-14","Inactive"
"AF_32","Employee","Designation Change - Initiator","","1","2023-10-19","2023-12-14","Inactive"
"AF_33","Employee","Location Change","","1","2023-10-19","2023-11-05","Active"
"AF_34","Employee","Manager Approval","","1","2023-10-19","2025-10-06","Inactive"
"AF_35","Employee","HRBP Approval","Flows (CF_20)","1","2023-10-19","2023-11-05","Active"
"AF_36","Employee","Compensation Change Approval","Flows (CF_31)","1","2023-10-19","2023-12-14","Active"
"AF_37","Employee","Address Change","","1","2023-10-19","2023-11-05","Draft"
"AF_37","Employee","Address Change","Flows (CF_23)","1","2023-10-19","2023-12-14","Active"
"AF_38","Employee","Manager Change Approval Flow","","1","2023-10-19","2023-11-05","Inactive"
"AF_39","Employee","New Certification Approval Flow","","1","2023-10-19","2023-11-05","Active"
"AF_40","Employee","Project Change - manager","","1","2023-10-20","2023-12-14","Inactive"
"AF_41","Employee","Project Change- Admin","Flows (CF_26)","1","2023-10-20","2023-12-14","Active"
"AF_42","Employee","Approval","","1","2023-10-25","2023-11-05","Inactive"
"AF_43","Employee","Approval","","2","2023-10-25","2023-12-14","Inactive"
"AF_44","Employee","Manager Change Approval Flow","","2","2023-10-25","2023-12-14","Inactive"
"AF_4","Employee","Approval","Flows (CF_6, CF_30)","3","2023-12-14","2023-12-14","Active"
"AF_5","Default","Asset Request Form","","4","2023-12-14","2023-12-14","Active"
"AF_6","Employee","Compensation Change","Flows (CF_9)","3","2023-12-14","2023-12-14","Active"
"AF_7","Employee","Designation Change ","Flows (CF_28)","2","2023-12-14","2023-12-14","Active"
"AF_8","Employee","Designation Change - Initiator","Flows (CF_28)","2","2023-12-14","2023-12-14","Active"
"AF_9","Employee","Manager Change Approval Flow","Flows (CF_5)","3","2023-12-14","2023-12-14","Active"
"AF_10","Offer Letter","Offer Approval Flow","","5","2023-12-14","2023-12-27","Inactive"
"AF_11","Employee","Offer Reroute CEO","","2","2023-12-14","2023-12-14","Active"
"AF_12","Employee","Offer Reroute VP","","2","2023-12-14","2023-12-14","Active"
"AF_13","Employee","Project Change - manager","Flows (CF_26)","2","2023-12-14","2023-12-14","Active"
"AF_14","Default","Requisition Approval","","9","2023-12-14","2024-01-05","Inactive"
"AF_2","Employee","Reroute offer","","1","2023-12-27","2023-12-27","Active"
"AF_3","Offer Letter","Offer Approval Flow","","6","2023-12-27","2024-09-11","Inactive"
"AF_4","Default","Requisition Approval","","10","2024-01-05","2025-02-11","Inactive"
"AF_15","Offer Letter","Offer Approval Flow","","7","2024-09-11","2024-10-01","Inactive"
"AF_17","Employee","Offer reroute","","2","2024-09-11","2024-11-25","Inactive"
"AF_18","Offer Letter","Offer Re route","","1","2024-10-01","2024-10-01","Active"
"AF_19","Offer Letter","Offer Approval Flow","","8","2024-10-01","2024-10-14","Inactive"
"AF_20","Offer Letter","Test Re-route","","1","2024-10-14","2024-10-14","Active"
"AF_21","Offer Letter","Offer Approval Flow","","9","2024-10-14","2024-11-21","Inactive"
"AF_23","Offer Letter","Offer Re route- CEO","","1","2024-11-21","2024-11-21","Active"
"AF_24","Offer Letter","Offer Approval Flow","","10","2024-11-21","2024-11-25","Inactive"
"AF_25","Offer Letter","Offer Re route- VP","","1","2024-11-25","2024-11-25","Active"
"AF_26","Offer Letter","Offer Approval","","1","2024-11-25","2024-11-25","Active"
"AF_27","Offer Letter","Offer Approval Flow","Flows (CF_11)","11","2024-11-25","2024-11-25","Active"
"AF_28","Default","Requisition Approval","Flows (CF_10)","11","2025-02-11","2025-02-11","Active"
"AF_29","Employee","Resignation Approval ","","1","2025-06-27","2025-07-29","Inactive"
"AF_30","Employee","Resignation Approval ","","2","2025-07-29","2025-10-06","Inactive"
"AF_31","Employee","Manager Approval","Flows (CF_20, CF_24, CF_25)","2","2025-10-06","2025-10-06","Active"
"AF_32","Employee","Resignation Approval ","","3","2025-10-06","2025-10-06","Active"
"AF_34","Position Update","Position Creation Approval Flow","","1","2026-04-07","2026-04-07","Draft"
