"Code","Row ID","Approval Stage Name","Approvers","Approver's Job Level","Approver's Grade","Action","Alloted Time","Visibility Roles","Skip Settings","SLA Settings","Confidential Roles","Re-Route Approval Flow","Approver Context","Assignment Basis","Replace Approve and Reject buttons with submit button","Trigger this stage even if previous stage is rejected","Allow Send Back","Select Employee","Use Decision Matrix","Decision Matrix","Approve Button Alias","Reject Button Alias","Save as Draft Button Alias","Reroute Button Alias","Send Back Button Alias","Delegate Button Alias","View Details Button Alias","Submit Button Alias","Cancel Button Alias","Approver/Assignee Is Assigned - Email","Approver/Assignee Is Assigned - Default Recipients","Approver/Assignee Is Assigned - Additional Recipients","Approver/Assignee Is Assigned - CC Users","Approver/Assignee Is Assigned - CC Roles","Approvers Approve - Email","Approvers Approve - Default Recipients","Approvers Approve - Additional Recipients","Approvers Approve - CC Users","Approvers Approve - CC Roles","Approvers Reject - Email","Approvers Reject - Default Recipients","Approvers Reject - Additional Recipients","Approvers Reject - CC Users","Approvers Reject - CC Roles","Due Date Is Completed - Email","Due Date Is Completed - Default Recipients","Due Date Is Completed - Additional Recipients","Due Date Is Completed - CC Users","Due Date Is Completed - CC Roles","Approval Step Is Skipped - Email","Approval Step Is Skipped - Default Recipients","Approval Step Is Skipped - Additional Recipients","Approval Step Is Skipped - CC Users","Approval Step Is Skipped - CC Roles","Sent Back To Approval Stage And Sent Back Task Is Triggered - Email","Sent Back To Approval Stage And Sent Back Task Is Triggered - Default Recipients","Sent Back To Approval Stage And Sent Back Task Is Triggered - Additional Recipients","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Email","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Default Recipients","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Additional Recipients","Sent Back From This Stage And Sent Back Task Is Completed - Email","Sent Back From This Stage And Sent Back Task Is Completed - Default Recipients","Sent Back From This Stage And Sent Back Task Is Completed - Additional Recipients","Other Stages Retriggered As Part Of This Send Back - Email","Other Stages Retriggered As Part Of This Send Back - Default Recipients","Other Stages Retriggered As Part Of This Send Back - Additional Recipients","Status"
"AF_1","R1","Admin","Employee direct HRBP","","","","15","Manager","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_2","","L1","Head HR","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_3","","IT Admin","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_4","","IT Admin","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_5","","IT Admin","","","","","15","Manager|Admin","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_6","","l1","Manager","","","","15","Self|L2 Manager","","","","","Subject","Source","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_6","","l2","Employee direct HRBP","","","","15","Self|Manager|L2 Manager","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_6","","l3","Admin","","","","15","Self|Manager|L2 Manager|Employee direct HRBP","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_7","","l1","Manager","","","","15","L2 Manager","","","","","Subject","Source","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_7","","l2","Employee direct HRBP","","","","15","Manager|L2 Manager","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
