"Workflow Code","Workflow Status","Row ID","Stage Name","Assignee","Send Back (Yes/No)","Status Visibility","Skip this step when previous action is","Input - Enable (Yes/No)","Input - Select Form","Input - Form Visibility","Skip step if not completed within days","Extension - Enable (Yes/No)","Extension - Select Form","Extension - Form Visibility","Extension - Initiate Flow","Extension - Initiate Role","Confirmation - Enable (Yes/No)","Confirmation - Select Form","Confirmation - Form Visibility","Confirmation - Initiate Flow","Confirmation - Initiate Role","Separation - Enable (Yes/No)","Separation - Select Form","Separation - Form Visibility","Separation - Initiate Flow","Separation - Initiate Role","Alloted Time","SLA Settings","Alias Confirm","Alias Extend","Alias Separate","Alias Confirmation","Alias Extension","Alias Separation","Pending for action - Email","Pending for action - Default Recipients","Pending for action - Additional Recipients","Pending for action - CC Users","Pending for action - CC Roles","Confirmation Acknowledgement - Email","Confirmation Acknowledgement - Default Recipients","Confirmation Acknowledgement - Additional Recipients","Confirmation Acknowledgement - CC Users","Confirmation Acknowledgement - CC Roles","Extension Acknowledgement - Email","Extension Acknowledgement - Default Recipients","Extension Acknowledgement - Additional Recipients","Extension Acknowledgement - CC Users","Extension Acknowledgement - CC Roles","Separation Acknowledgement - Email","Separation Acknowledgement - Default Recipients","Separation Acknowledgement - Additional Recipients","Separation Acknowledgement - CC Users","Separation Acknowledgement - CC Roles","Completion of action - Email","Completion of action - Default Recipients","Completion of action - Additional Recipients","Completion of action - CC Users","Completion of action - CC Roles","Send Back - Email","Send Back - Default Recipients","Send Back - Additional Recipients","Send Back - CC Users","Send Back - CC Roles","SLA Breached - Email","SLA Breached - Default Recipients","SLA Breached - Additional Recipients","SLA Breached - CC Users","SLA Breached - CC Roles","Input stage skipped - Email","Input stage skipped - Default Recipients","Input stage skipped - Additional Recipients","Input stage skipped - CC Users","Input stage skipped - CC Roles"
"CONF_WF_1","Active","R1","","manager","","admin|hod|dotted_line_manager|hrbp","","","","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","","","Confirm","Extend","Separate","Confirmation","Extension","Separation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CONF_WF_1","Active","R2","","hrbp","Yes","manager|admin|hod|dotted_line_manager|hrbp","","","","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","","","Confirm","Extend","Separate","Confirmation","Extension","Separation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CONF_WF_2","Active","R1","","manager","","admin|hod|dotted_line_manager|hrbp","","","","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","","","Confirm","Extend","Separate","Confirmation","Extension","Separation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CONF_WF_2","Active","R2","","hrbp","Yes","manager|admin|hod|dotted_line_manager|hrbp","","","","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","","","Confirm","Extend","Separate","Confirmation","Extension","Separation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CONF_WF_3","Active","R1","","manager","","admin|hod|dotted_line_manager|hrbp","","","","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","","","Confirm","Extend","Separate","Confirmation","Extension","Separation","CUST_NOTF_29","approver","","","","","","","","","","","","","","","","","","","","","","","","CUST_NOTF_33","approver","","","","","","","","","","","","",""
"CONF_WF_3","Active","R2","","hrbp","Yes","manager|admin|hod|dotted_line_manager|hrbp","","","","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","","","Confirm","Extend","Separate","Confirmation","Extension","Separation","CUST_NOTF_29","approver","","","","CUST_NOTF_31","employee","","","","CUST_NOTF_32","employee","","","","CUST_NOTF_30","employee","","","","","","","","","CUST_NOTF_33","approver","","","","","","","","","","","","",""
"CONF_WF_4","Active","R1","","manager","","admin|hod|dotted_line_manager|hrbp","","","","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","","","Confirm","Extend","Separate","Confirmation","Extension","Separation","CUST_NOTF_29","approver","","","","","","","","","","","","","","","","","","","","","","","","CUST_NOTF_33","approver","","","","","","","","","","","","",""
"CONF_WF_4","Active","R2","","hrbp","Yes","manager|admin|hod|dotted_line_manager|hrbp","","","","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","","","Confirm","Extend","Separate","Confirmation","Extension","Separation","CUST_NOTF_29","approver","","","","CUST_NOTF_31","employee","","","","CUST_NOTF_32","employee","","","","CUST_NOTF_30","employee","","","","","","","","","CUST_NOTF_33","approver","","","","","","","","","","","","",""
"CONF_WF_5","Active","R1","","manager","","admin|hod|dotted_line_manager|hrbp","","","","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","Yes","","admin|hod|dotted_line_manager|hrbp","","","","","Confirm","Extend","Separate","Confirmation","Extension","Separation","CUST_NOTF_29","approver","","","","","","","","","","","","","","","","","","","","","","","","CUST_NOTF_33","approver","","","","","","","","","","","","",""
"CONF_WF_5","Active","R2","","hrbp","Yes","manager|admin|hod|dotted_line_manager|hrbp","","","","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","Yes","","manager|admin|hod|dotted_line_manager|hrbp","","","","","Confirm","Extend","Separate","Confirmation","Extension","Separation","CUST_NOTF_29","approver","","","","CUST_NOTF_31","employee","","","","CUST_NOTF_32","employee","","","","CUST_NOTF_30","employee","","","","","","","","","CUST_NOTF_33","approver","","","","","","","","","","","","",""
