"Code","Name","Description","Restriction Condition","Applicable User Assignment *","Auto Numbering Series","Trigger Event ","Event Type","Flow Category","Use As Subflow","Workflow to Trigger on Approval","Workflow to Trigger on Reject","Company change type (intra/inter)","Tenure In Years","Trigger Before/After","Days","Change Self Service To No After (Days)","Tenure Basis Continuous Service Date (In Years)","Capture HRBP change","Is HRBP Capture Mandatory","Applicable to IJP (in Recruitment)","Hide this flow from","Revoke after Number of Days","Recognition Program","Enable JL change","Enable Contribution Level change","Enable Cost Center change","Reasons To Revoke","Allow editing of the initiator form only before completing the first step in the flow","Enable Nominee based flow","Enable Project Based","No Of Active Flows","Cooling Period","Enable Duration Based Cool Off Period","Select Duration","Number of times Allowed","Email To","Initiation Email Recipient","Initiation Email Recipient -Template","Completion Email Recipient","Completion Email Recipient -Template","Initiated Template","Approval Flow Assigned Template","Approval Flow Completed Template","Work Flow Assigned Template","Work Flow Completed Template","SLA Breached Template","Cool-off Duration Ended","Hide Skipped Steps From","Allow Revoke Post Approval Flow Completion","Default Approval Flow On Revoke","Do not proceed with the flow until the revoke approval process is completed","Consider this flow as sensitive","Keep flow active for inactive employees","Enable as Custom Exception Approval Flow","Select Position Type","Event Type","Restrict Initiations For Roles","Import Type","Status"
"CF_2","Requisition Approval","","Or","ALL_0","","Business Flow","No Event Type","","No","","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","All","","","","Inactive"
"CF_3","Requisition Approval 2","","Or","ALL_0","","Business Flow","No Event Type","","No","","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","All","","","","Inactive"
"CF_4","Asset Assignment","","Or","ALL_0","System Generated","Business Flow","No Event Type","Business Flows","No","WF_6","","","","","","","","No","No","No","Self","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Active"
"CF_5","Manager Change","","Or","ALL_0","System Generated","Manager Change","No Event Type","Position Update","No","WF_12","","","","","","","","Yes","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Active"
"CF_6","Location Change ","","Or","ALL_0","System Generated","Location Change","No Event Type","Business Flows","No","WF_11","","","","","","","","Yes","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Active"
"CF_7","Designation Change","","Or","ALL_0","System Generated","Designation Change","No Event Type","Business Flows","No","","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Inactive"
"CF_8","Employee Movement","","Or","ALL_0","System Generated","Employee Movement","No Event Type","Employee Movements","No","","","1","","","","","","Yes","No","No","","","","No","Yes","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Active"
"CF_9","Compensation Change","","Or","ALL_0","System Generated","Compensation Change","No Event Type","Business Flows","No","WF_18","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Active"
"CF_10","Requisition Approval Flow","","Or","ALL_0","","Business Flow","No Event Type","","No","","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","All","","","","Active"
"CF_11","Offer Letter approval","","Or","ALL_0","","Business Flow","No Event Type","","No","","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Active"
"CF_12","Onboarding ","","Or","","System Generated","Business Flow","Date of Activation","Business Flows","No","WF_14","WF_14","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Active"
"CF_13","Employee Type","","Or","ALL_0","System Generated","Employee Type Change","No Event Type","Employee Movements","No","","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Inactive"
"CF_14","Skip flow Test","","Or","ALL_0","System Generated","Business Flow","No Event Type","","No","","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Inactive"
"CF_15","DUMMY Manager Change","","Or","ALL_0","System Generated","Business Flow","No Event Type","","No","","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Inactive"
"CF_16","POSH Declaration","","Or","ALL_0","System Generated","Business Flow","No Event Type","Business Flows","No","WF_15","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Active"
"CF_17","NDA","","Or","ALL_0","System Generated","Business Flow","No Event Type","","No","WF_19","","","","","","","","No","No","No","","","","No","No","No","","No","No","No","","","No","","","","","","","","","","","","","","","","","","","","","No","","","","","Active"
