"Code","Row ID","Trigger Type","Application Form","Options","Title","Initiator","Approval Flow","Approval Flow On Revoke","Approval Flow - Decision Matrix","Default Approval Flow","Approval Flow -Exception ","Exception","Confidential","Email When Flow Initiated - Email Template","Email When Flow Revoked/Canceled - Email Template","Email When Flow Completed - Email Template","Email When Flow Initiated - Additional Recipients","Email When Flow Revoked/Canceled - Additional Recipients","Email When Flow is Comepleted - Additional Recipients","Email When Flow Initiated - Default Recipients","Email When Flow Revoked/Canceled - Default Recipients","Email When Flow Completed - Default Recipients","Edit Initiator Form","Email When Flow Initiated - CC Roles","Email When Flow Initiated - CC Users","Email When Flow Revoked/Canceled - CC Roles","Email When Flow Revoked/Canceled - CC Users","Email When Flow completed - CC Roles","Email When Flow completed - CC Users","Status"
"CF_2","","","","","","Self","","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_3","","","RF","","","Self","","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_4","R1","Manual","","","","Manager","","","","","","No","","","","","Employee direct HRBP","","","","","","","","","","","","","Active"
"CF_4","R2","Manual","","","","Employee direct HRBP","","","","","","No","","","","","Manager","","","","","","","","","","","","","Active"
"CF_4","R3","Manual","","","","Admin","","","","","","No","","","","","Manager|Employee direct HRBP","","","","","","","","","","","","","Active"
"CF_4","R4","Manual","","","","HR Team","","","","","","No","","","","","Manager|Employee direct HRBP","","","","","","","","","","","","","Active"
"CF_5","R1","Manual","CUST_LOC1698217866360","","Reason for Change","Admin","AF_9","","","","","No","","","","","Manager|HOD|Employee direct HRBP","","","Subject","","","","","","","","","","Active"
"CF_5","R2","Manual","CUST_LOC1698217866360","","Reason for Change","Manager","AF_9","","","","","No","","","","","HOD|Employee direct HRBP","","","Subject","","","","","","","","","","Active"
"CF_5","R3","Manual","CUST_LOC1698217866360","","Reason for Change","Employee direct HRBP","AF_9","","","","","No","","","","","Manager|HOD","","","Subject","","","","","","","","","","Active"
"CF_5","R4","Manual","CUST_LOC1698217866360","","Reason for Change","HOD","AF_9","","","","","No","","","","","Manager|Employee direct HRBP","","","Subject","","","","","","","","","","Active"
"CF_5","R5","Manual","CUST_LOC1698217866360","","Reason for Change","Vice President","AF_9","","","","","No","","","","","Manager|HOD|Employee direct HRBP","","","Subject","","","","","","","","","","Active"
"CF_6","R1","Manual","CUST_LOC","","Reason for change in location","Employee direct HRBP","AF_4","","","","","No","","CUST_NOTF_16","","","Manager|HOD","","Admin|Manager|HOD|Employee direct HRBP","","","","","","","","","","","Active"
"CF_6","R2","Manual","CUST_LOC","","Reason for change in location","Manager","AF_4","","","","","No","","CUST_NOTF_16","","","Self|HOD|Employee direct HRBP","","Self|Admin|Manager|HOD|Employee direct HRBP","","","","","","","","","","","Active"
"CF_6","R3","Manual","CUST_LOC","","Reason for change in location","Admin","AF_4","","","","","No","","","","","Self|Manager|HOD|Employee direct HRBP","","","","","","","","","","","","","Active"
"CF_7","","Manual","","","","Manager","AF_22","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_7","","Manual","","","","Employee direct HRBP","AF_22","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_7","","Manual","","","","Admin","AF_22","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_8","R1","Manual","","","","Employee direct HRBP","AF_22","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_8","R2","Manual","","","","Admin","AF_22","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_9","R1","Manual","","","","Admin","AF_6","","","","","No","Admin","","","","","","","","","","","","","","","","","Active"
"CF_9","R2","Manual","","","","","AF_6","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_10","R1","","RF","","","Self","AF_28","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_10","R2","","RF","","","Admin","AF_28","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_10","R3","","RF","","","","AF_28","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_11","R1","Manual","","","","Self","","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_11","R2","Manual","","","","Admin","","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_11","R3","Manual","","","","Manager","","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_12","R1","Automatic","","","","","","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_13","","Manual","","","","Admin","AF_16","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_14","","Manual","","","","Admin","","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_14","","Manual","","","","Self","","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_15","","Manual","","","","Admin","","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_16","R1","Manual","","","","Admin","","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_17","R1","Manual","","","","Admin","","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_17","R2","Manual","","","","HR Team","","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_18","R1","Manual","CUST_ABS","","Comments","Employee direct HRBP","","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_18","R2","Manual","CUST_ABS","","Comments","HR Team","","","","","","No","","","","","","","","","","","","","","","","","","Active"
"CF_19","","Manual","CUST_DC","","","Admin","","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_19","","Manual","CUST_DC","","","Manager","","","","","","No","","","","","","","","","","","","","","","","","","Inactive"
"CF_20","R1","Manual","CUST_DC1697693343378","","","Employee direct HRBP","AF_31","","","","","No","","","","","Self|Manager|HOD","","","","","","","","","","","","","Active"
"CF_20","R2","Manual","CUST_DC1697693343378","","","Manager","AF_35","","","","","No","","","","","Self|HOD|Employee direct HRBP","","","","","","","","","","","","","Active"
