"Code","Name","Module Transaction","Description","Series/Parallel/Conditional","Tagged Flows","Version","Created On","Update On","Status"
"WF_1","PIP Workflow","Default","","Conditional","","1","2023-06-23","2023-12-14","Active"
"WF_2","Asset Assignment","Default","","Parallel","","1","2023-07-01","2023-11-05","Inactive"
"WF_3","Asset Assignment","Default","","Parallel","","2","2023-07-01","2023-11-05","Inactive"
"WF_4","Asset Assignment","Default","","Parallel","","3","2023-07-01","2023-11-05","Inactive"
"WF_5","Asset Assignment","Default","","Parallel","","4","2023-07-01","2023-11-05","Inactive"
"WF_6","Asset Assignment","Default","","Parallel","","5","2023-07-01","2023-11-05","Inactive"
"WF_7","Asset Assignment","Default","","Parallel","","6","2023-07-01","2023-11-05","Inactive"
"WF_8","Asset Assignment","Default","","Parallel","","7","2023-07-06","2023-11-05","Inactive"
"WF_9","Asset Assignment","Default","","Parallel","","8","2023-07-06","2023-11-05","Inactive"
"WF_10","Onboarding Document Collection","Employee","","Parallel","","1","2023-08-11","2023-11-05","Inactive"
"WF_11","Onboarding","Employee","","Parallel","","2","2023-09-13","2023-11-05","Inactive"
"WF_12","Compensation Workflow","Employee","","Conditional","","1","2023-09-21","2023-12-14","Inactive"
"WF_13","DUMMY","Employee","","Parallel","","1","2023-09-21","2023-12-14","Inactive"
"WF_14","Contract Ending","Employee","","Parallel","","1","2023-09-28","2023-12-14","Inactive"
"WF_15","Declaration","Employee","","Parallel","Flows (CF_16)","1","2023-09-28","2023-11-05","Active"
"WF_16","NDA","Employee","","Parallel","","1","2023-09-28","2023-11-05","Inactive"
"WF_17","NDA","Employee","","Parallel","","2","2023-09-29","2023-11-05","Inactive"
"WF_18","Onboarding","Employee","","Parallel","","3","2023-10-03","2023-11-05","Inactive"
"WF_19","NDA","Employee","","Parallel","Flows (CF_17)","3","2023-10-03","2023-11-05","Active"
"WF_20","Absconding","Employee","","Parallel","","1","2023-10-04","2023-11-05","Inactive"
"WF_21","Onboarding","Employee","","Parallel","","4","2023-10-04","2023-12-14","Inactive"
"WF_22","Absconding","Employee","","Parallel","Flows (CF_18)","2","2023-10-04","2023-12-14","Active"
"WF_23","Asset Assignment","Default","","Conditional","","9","2023-10-09","2023-11-05","Inactive"
"WF_24","Asset Assignment","Default","","Conditional","","10","2023-10-09","2023-12-14","Inactive"
"WF_25","Designation Change","Employee","","Parallel","","1","2023-10-19","2023-11-05","Inactive"
"WF_26","Business Card","Employee","","Parallel","","1","2023-10-19","2023-11-05","Inactive"
"WF_27","Contract Extension","Employee","","Conditional","","1","2023-10-20","2023-11-05","Inactive"
"WF_28","Designation Change","Employee","","Parallel","","2","2023-10-20","2023-11-05","Inactive"
"WF_29","Business Card","Employee","","Conditional","Flows (CF_20)","2","2023-10-20","2023-12-14","Active"
"WF_30","New Certification","Employee","","Parallel","","1","2023-10-20","2023-11-05","Inactive"
"WF_31","Certifcation Completion ","Employee","","Parallel","","1","2023-10-20","2023-11-05","Inactive"
"WF_32","Onboarding ","Default","","Parallel","Flows (CF_29)","1","2023-10-23","2024-01-22","Active"
"WF_33","Designation Change","Employee","","Parallel","","3","2023-10-25","2023-11-05","Inactive"
"WF_34","Manager Change ","Employee","","Parallel","","1","2023-10-25","2023-11-05","Inactive"
"WF_35","Location Change","Employee","","Parallel","","1","2023-10-25","2023-11-05","Inactive"
"WF_36","Designation Change","Employee","","Parallel","","4","2023-10-25","2023-12-14","Inactive"
"WF_37","Location Change","Employee","","Parallel","","2","2023-10-25","2023-11-05","Inactive"
"WF_38","Project Allocated","Employee","","Parallel","","1","2023-10-25","2023-12-14","Inactive"
"WF_39","Location Change","Employee","","Parallel","","3","2023-10-25","2023-12-14","Inactive"
"WF_40","Manager Change ","Employee","","Parallel","","2","2023-10-25","2023-11-05","Inactive"
"WF_41","Manager Change ","Employee","","Parallel","","3","2023-10-25","2023-12-14","Inactive"
"WF_42","Certifcation Completion ","Employee","","Parallel","Flows (CF_25)","2","2023-10-25","2023-12-14","Active"
"WF_43","Contract Extension","Employee","","Conditional","","2","2023-10-25","2023-12-14","Inactive"
"WF_44","New Certification","Employee","","Parallel","","2","2023-10-26","2023-11-05","Inactive"
"WF_45","New Certification","Employee","","Parallel","","3","2023-10-26","2023-12-14","Inactive"
"WF_6","Asset Assignment","Default","","Conditional","Flows (CF_4)","11","2023-12-14","2024-06-17","Active"
"WF_7","Compensation Workflow","Employee","","Conditional","","2","2023-12-14","2025-03-04","Inactive"
"WF_8","Contract Extension","Employee","","Conditional","Flows (CF_27)","3","2023-12-14","2023-12-14","Active"
"WF_9","Designation Change","Employee","","Parallel","Flows (CF_28)","5","2023-12-14","2023-12-14","Active"
"WF_10","DUMMY","Employee","","Parallel","","2","2023-12-14","2023-12-14","Inactive"
"WF_11","Location Change","Employee","","Parallel","Flows (CF_6, CF_30)","4","2023-12-14","2023-12-14","Active"
"WF_12","Manager Change ","Employee","","Parallel","Flows (CF_5)","4","2023-12-14","2023-12-14","Active"
"WF_13","New Certification","Employee","","Parallel","Flows (CF_24)","4","2023-12-14","2023-12-14","Active"
"WF_14","Onboarding Workflow","Employee","","Parallel","Flows (CF_12)","5","2023-12-14","2025-02-18","Active"
"WF_15","Project Allocated","Employee","","Parallel","Flows (CF_26)","2","2023-12-14","2023-12-14","Active"
"WF_2","Life Insurance Nomination Form","Employee","","Parallel","Flows (CF_34)","1","2024-01-11","2024-01-11","Active"
