Catalogue ID,Permission Code,Permission Name,PrimeSoft Module Group,Module Code,Phase,Layer,Action,Legacy Module,Legacy Sub-Module,Source
CAT-001,view_position_details_standard,View Position Details,Employee Master,M01,1,Operational,View,Core,Employee Data management,Export (enforced)
CAT-002,view_profile_flag_standard,View profile flag,Employee Master,M01,1,Operational,View,Core,Core & Employee management,Export (enforced)
CAT-003,view_future_transactions_standard,Future Transactions,Employee Master,M01,1,Operational,View,Core,Employee Data management,Export (enforced)
CAT-004,edit_future_transactions_standard,Future Transactions,Employee Master,M01,1,Operational,Edit/Action,Core,Employee Data management,Export (enforced)
CAT-005,view_assigned_policies_standard,View Assigned Policies,Employee Master,M01,1,Operational,View,Core,Employee Data management,Export (enforced)
CAT-006,view_profile_history_standard,Profile History,Employee Master,M01,1,Operational,View,Core,Employee Data management,Export (enforced)
CAT-007,assign_replacement_standard,Assign Replacement,Employee Master,M01,1,Operational,Edit/Action,Core,Employee Data management,Export (enforced)
CAT-008,download_profile_pdf_standard,Download Profile PDF,Employee Master,M01,1,Operational,View,Core,Employee Data management,Export (enforced)
CAT-009,employee_lifecycle_probation_confirmation_standard,Employee Lifecycle - Probation Confirmation,Employee Master,M01,1,Operational,View,Workflows,Confirmation,Export (enforced)
CAT-010,employee_lifecycle_separation_standard,Employee Lifecycle Separation,Exits & Offboarding,M03,1,Operational,View,Workflows,Separation,Export (enforced)
CAT-011,employee_lifecycle_contract,Employee Lifecycle - Contract,Employee Master,M01,1,Operational,View,Workflows,Contract,Export (enforced)
CAT-012,workflow_tab,Employee Lifecycle - WorkFlow,Workflow Engine,P01,1,Operational,View,Workflows,Workflows,Export (enforced)
CAT-013,separation_history,Separation History,Exits & Offboarding,M03,1,Operational,View,Workflows,Separation,Export (enforced)
CAT-014,view_employee_lifecycle_onboarding,Employee Lifecycle - Onboarding,Onboarding,M02,1,Operational,View,Onboarding,Onboarding,Export (enforced)
CAT-015,view_personal_details_standard,View Personal Details,Employee Master,M01,1,Operational,View,Core,Employee Data management,Export (enforced)
CAT-016,view_employment_details_standard,View Employment Details,Employee Master,M01,1,Operational,View,Core,Employee Data management,Export (enforced)
CAT-017,view_assigned_permissions_standard,View Assigned Permissions,Employee Master,M01,1,Operational,View,Core,Employee Data management,Export (enforced)
CAT-018,attendance_leave_oneview_view_standard,View attendance & leave data in one view,Attendance,M05,1,Operational,View,Time Management,Attendance,Export (enforced)
CAT-019,attendance_view_overtime_list_standard,Overtime Credited List,Attendance,M05,1,Operational,View,Time Management,Attendance,Export (enforced)
CAT-020,attendance_view_attendance_standard,View Attendance Page,Attendance,M05,1,Operational,View,Time Management,Attendance,Export (enforced)
CAT-021,attendance_edit_one_view_standard,Edit attendance in One View,Attendance,M05,1,Operational,Edit/Action,Time Management,Attendance,Export (enforced)
CAT-022,edit_shift_weeklyoff_one_view_standard,Edit Shift & Weekly off in One View,Attendance,M05,1,Operational,Edit/Action,Time Management,Attendance,Export (enforced)
CAT-023,attendance_edit_attendance_page_standard,Edit Attendance in attendance page,Attendance,M05,1,Operational,Edit/Action,Time Management,Attendance,Export (enforced)
CAT-024,attendance_apply_attendance_others_standard,On behalf attendance application,Attendance,M05,1,Operational,Edit/Action,Time Management,Attendance,Export (enforced)
CAT-025,edit_leave_balance_on_leave_page_standard,Edit Leave Balance on leave page,Leave,M04,1,Operational,Edit/Action,Time Management,Leave,Export (enforced)
CAT-026,leave_apply_oneview_standard,Apply leave in one view,Leave,M04,1,Operational,Edit/Action,Time Management,Leave,Export (enforced)
CAT-027,leave_compoff_payout_history_standard,Pay out in comp-off history,Leave,M04,1,Operational,Edit/Action,Time Management,Leave,Export (enforced)
CAT-028,leave_apply_other_standard,Raise leave request on behalf of,Leave,M04,1,Operational,Edit/Action,Time Management,Leave,Export (enforced)
CAT-029,leave_compoff_credited_history_standard,Comp off credited history,Leave,M04,1,Operational,View,Time Management,Leave,Export (enforced)
CAT-030,leave_history_standard,Leave history,Leave,M04,1,Operational,View,Time Management,Leave,Export (enforced)
CAT-031,leave_view_leave_standard,View an Employee's Leave Page,Leave,M04,1,Operational,View,Time Management,Leave,Export (enforced)
CAT-032,attendance_import_roster_standard,Roster Import,Attendance,M05,1,Operational,Import,Time Management,Attendance,Export (enforced)
CAT-033,attendance_import_roster_calendar_standard,Roster Calendar Import,Attendance,M05,1,Operational,Import,Time Management,Attendance,Export (enforced)
CAT-034,assign_time_sheet_policy_standard,Assign TimeSheet Policy,Attendance,M05,1,Operational,Edit/Action,Time Management,TimeSheets,Export (enforced)
CAT-035,attendance_edit_shift_policy_weeklyoff_standard,"Assign Shift, Attendance Policy and Weekly off",Attendance,M05,1,Operational,Edit/Action,Time Management,Attendance,Export (enforced)
CAT-036,view_summary,View Trip Summary,Expense & Travel,M12,2,Operational,View,Travel & Expense,Travel,Export (enforced)
CAT-037,view_travel,View Travel Requests,Expense & Travel,M12,2,Operational,View,Travel & Expense,Travel,Export (enforced)
CAT-038,leave_edit_flexible_holiday_date_standard,Edit Flexible Holiday Date,Leave,M04,1,Operational,Edit/Action,Time Management,Leave,Export (enforced)
CAT-039,edit_pay_package,Edit Pay Package,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-040,edit_it_declaration_access,Edit IT/POI Declaration Access,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-041,edit_it_declaration,Edit IT/POI Declaration,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-042,manage_extra_payments,Manage Extra Payments,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-043,manage_loan_advances_extra_deductions,Manage Loan & Advances / ExtraDeductions,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-044,create_hold_salary,Create Hold Salary,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-045,create_perquisite,Create Perquisite,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-046,manage_benefits,Manage Benefits,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-047,manage_flexi_declarations,Manage Flexi Declarations,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-048,edit_flexi_declarations,Edit Flexi Declarations,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-049,create_form_12b,Create Form12b,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-050,manage_loans,Manage Loans,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-051,manage_advances,Manage Advances,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-052,edit_component_pay_package,Edit Component Pay Package,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-053,manage_component_extrapayments,Manage Component Extra Payments,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-054,manage_component_advances,Manage Component Advances,Payroll,M06,2,Operational,Edit/Action,Payroll,Payroll,Export (enforced)
CAT-055,view_pay_package,Pay Package,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-056,view_benefits,Benefits,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-057,view_it_declarations,IT/POI Declarations,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-058,view_payslips,Payslips,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-059,view_extra_payments,Extra Payments,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-060,view_loans_advances_extra_deductions,Loans & Advances/Extra Deductions,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-061,view_hold_salary_repayment,Hold Salary / Repayment,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-062,view_taxsheet,Taxsheet,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-063,view_form_12b,Form 12B,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-064,view_form_16b,Form 16B,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-065,view_form_12ba,Form 12BA,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-066,view_perquisite,Perquisite,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-067,view_flexi_components,View Flexi Components,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-068,view_loans,View Loans,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-069,view_advances,View Advances,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-070,view_component_pay_package,View Component Pay Package,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-071,view_component_proration,View Component Proration,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-072,view_component_extrapayments,View Component Extra Payments,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-073,view_component_advances,View Component Advances,Payroll,M06,2,Operational,View,Payroll,Payroll,Export (enforced)
CAT-074,view_user_expenses,View User Expenses,Expense & Travel,M12,2,Operational,View,Travel & Expense,Reimbursement,Export (enforced)
CAT-075,view_reimbursement_advances,View Reimbursement Advances,Expense & Travel,M12,2,Operational,View,Travel & Expense,Reimbursement,Export (enforced)
CAT-076,employee_performance_view,Employee Performance,Performance,M09,1,Operational,View,Performance,Performance,Export (enforced)
CAT-077,help_desk_ticket_creation_on_behalf_standard,Allow ticket creation on behalf,Assets & IT,M17,1,Operational,Edit/Action,Helpdesk,Helpdesk,Export (enforced)
CAT-078,view_help_desk_ticket_created_by_employee_standard,Ticket created by employee,Assets & IT,M17,1,Operational,View,Helpdesk,Helpdesk,Export (enforced)
CAT-079,goal_plan_view_standard,View Goal Plan,Performance,M09,1,Operational,View,Performance,Performance,Export (enforced)
CAT-080,goal_plan_edit_access_standard,Manage Goal Plan,Performance,M09,1,Operational,Edit/Action,Performance,Performance,Export (enforced)
CAT-081,appreciations_history_page,Appreciations History,Engagement & Rewards,M15,3,Operational,View,Rewards & Recognition,Rewards & Recognition,Export (enforced)
CAT-082,appreciations_leaderboard_page,Appreciations Leaderboard,Engagement & Rewards,M15,3,Operational,View,Rewards & Recognition,Rewards & Recognition,Export (enforced)
CAT-083,individual_award_programs_page,Individual Award programs,Engagement & Rewards,M15,3,Operational,View,Rewards & Recognition,Rewards & Recognition,Export (enforced)
CAT-084,team_award_programs_page,Team Award programs,Engagement & Rewards,M15,3,Operational,View,Rewards & Recognition,Rewards & Recognition,Export (enforced)
